iso_code,country,year,sex,age_group,homicide_rate
ALB,Albania,2006,female,30_44,2.7829400
ALB,Albania,2006,female,45_59,3.8561130
ALB,Albania,2006,female,ALL,1.4833145
ALB,Albania,2006,male,30_44,11.9504500
ALB,Albania,2006,male,45_59,6.9993428
ALB,Albania,2006,male,ALL,4.7992737
ALB,Albania,2007,both,ALL,3.4735007
ALB,Albania,2007,female,30_44,2.5270114
ALB,Albania,2007,female,45_59,2.9924721
ALB,Albania,2007,female,ALL,1.5644153
ALB,Albania,2007,male,30_44,15.0853109
ALB,Albania,2007,male,45_59,7.2010749
ALB,Albania,2007,male,ALL,5.4407421
ALB,Albania,2008,both,ALL,3.1073224
ALB,Albania,2008,female,30_44,2.5873681
ALB,Albania,2008,female,45_59,4.3812250
ALB,Albania,2008,female,ALL,1.2526656
ALB,Albania,2008,male,30_44,11.9056853
ALB,Albania,2008,male,45_59,8.1767972
ALB,Albania,2008,male,ALL,5.0129897
ALB,Albania,2009,both,ALL,2.8701870
ALB,Albania,2009,female,30_44,1.6594233
ALB,Albania,2009,female,45_59,0.7170181
ALB,Albania,2009,female,ALL,0.4670545
ALB,Albania,2009,male,30_44,18.9277258
ALB,Albania,2009,male,45_59,5.8684262
ALB,Albania,2009,male,ALL,5.3325129
ALB,Albania,2010,both,ALL,4.0632064
ALB,Albania,2010,female,30_44,1.7074170
ALB,Albania,2010,female,45_59,1.7684498
ALB,Albania,2010,female,60_PLUS,2.5907071
ALB,Albania,2010,female,ALL,0.7431426
ALB,Albania,2010,male,30_44,22.9144071
ALB,Albania,2010,male,45_59,11.6404060
ALB,Albania,2010,male,ALL,7.4558809
ALB,Albania,2011,both,ALL,4.8772044
ALB,Albania,2011,female,30_44,2.4445737
ALB,Albania,2011,female,45_59,2.4432298
ALB,Albania,2011,female,60_PLUS,1.2592317
ALB,Albania,2011,female,ALL,1.2239815
ALB,Albania,2011,male,30_44,16.7766905
ALB,Albania,2011,male,45_59,11.9260584
ALB,Albania,2011,male,60_PLUS,7.7758364
ALB,Albania,2011,male,ALL,8.6057714
ALB,Albania,2012,both,ALL,5.3951816
ALB,Albania,2012,female,30_44,4.2520999
ALB,Albania,2012,female,45_59,2.4097796
ALB,Albania,2012,female,ALL,1.7687309
ALB,Albania,2012,male,30_44,24.1001936
ALB,Albania,2012,male,45_59,15.8126915
ALB,Albania,2012,male,ALL,9.0970738
ALB,Albania,2013,both,ALL,4.2647260
ALB,Albania,2013,female,30_44,1.4380213
ALB,Albania,2013,female,45_59,3.4038150
ALB,Albania,2013,female,60_PLUS,1.5820501
ALB,Albania,2013,female,ALL,1.3616368
ALB,Albania,2013,male,30_44,15.5584279
ALB,Albania,2013,male,45_59,13.6194615
ALB,Albania,2013,male,ALL,7.2284869
ALB,Albania,2014,both,ALL,4.6147231
ALB,Albania,2014,female,30_44,1.8230843
ALB,Albania,2014,female,45_59,1.3508585
ALB,Albania,2014,female,60_PLUS,0.3836342
ALB,Albania,2014,female,ALL,0.8180617
ALB,Albania,2014,male,30_44,15.2496223
ALB,Albania,2014,male,45_59,10.4056966
ALB,Albania,2014,male,60_PLUS,2.9427096
ALB,Albania,2014,male,ALL,8.4906924
ALB,Albania,2015,both,ALL,2.2079381
ALB,Albania,2015,female,30_44,1.4762054
ALB,Albania,2015,female,45_59,0.6729486
ALB,Albania,2015,female,60_PLUS,0.3715504
ALB,Albania,2015,female,ALL,1.0927226
ALB,Albania,2015,male,30_44,8.8319363
ALB,Albania,2015,male,45_59,2.8865392
ALB,Albania,2015,male,60_PLUS,2.4454611
ALB,Albania,2015,male,ALL,3.3463481
ALB,Albania,2016,both,ALL,2.7261435
ALB,Albania,2016,female,ALL,1.1614148
ALB,Albania,2016,male,ALL,4.3231649
ALB,Albania,2017,both,ALL,2.0012128
ALB,Albania,2017,female,0_9,0.0000000
ALB,Albania,2017,female,10_14,0.0000000
ALB,Albania,2017,female,15_17,0.0000000
ALB,Albania,2017,female,18_19,25.8640199
ALB,Albania,2017,female,ALL,0.8880992
ALB,Albania,2017,male,0_9,0.0000000
ALB,Albania,2017,male,10_14,0.0000000
ALB,Albania,2017,male,15_17,1.4880952
ALB,Albania,2017,male,18_19,114.3272878
ALB,Albania,2017,male,ALL,3.1371084
ALB,Albania,2018,both,ALL,2.2803985
ALB,Albania,2018,female,0_9,0.0000000
ALB,Albania,2018,female,10_14,0.0000000
ALB,Albania,2018,female,15_17,3.3490179
ALB,Albania,2018,female,18_19,29.1097999
ALB,Albania,2018,female,ALL,1.0262305
ALB,Albania,2018,male,10_14,3.2298351
ALB,Albania,2018,male,15_17,3.1407528
ALB,Albania,2018,male,18_19,102.9689377
ALB,Albania,2018,male,ALL,3.5600330
ALB,Albania,2019,both,ALL,2.2530255
ALB,Albania,2019,female,18_19,30.3426384
ALB,Albania,2019,female,ALL,0.8923420
ALB,Albania,2019,male,18_19,115.4426783
ALB,Albania,2019,male,ALL,3.6410257
ALB,Albania,2020,both,ALL,2.1239898
ALB,Albania,2020,female,ALL,0.6204556
ALB,Albania,2020,male,ALL,3.6583483
ALB,Albania,2021,both,ALL,2.3160857
ALB,Albania,2021,female,ALL,0.8333443
ALB,Albania,2021,male,ALL,3.8307259
ALB,Albania,2022,both,ALL,1.6975479
ALB,Albania,2022,female,ALL,0.5596985
ALB,Albania,2022,male,ALL,2.8606840
ALB,Albania,2023,both,ALL,1.3870834
ALB,Albania,2023,female,ALL,0.8441487
ALB,Albania,2023,male,ALL,1.9423000
DZA,Algeria,2006,both,ALL,0.9279223
DZA,Algeria,2007,both,ALL,0.7926430
DZA,Algeria,2008,both,ALL,0.9420696
DZA,Algeria,2009,both,ALL,0.7804918
DZA,Algeria,2010,both,ALL,0.7018856
DZA,Algeria,2011,both,ALL,0.7587382
DZA,Algeria,2012,both,ALL,1.3892517
DZA,Algeria,2012,female,30_44,0.3081402
DZA,Algeria,2012,female,45_59,0.3793512
DZA,Algeria,2012,female,60_PLUS,0.1377032
DZA,Algeria,2012,female,ALL,0.2832416
DZA,Algeria,2012,male,30_44,1.5438972
DZA,Algeria,2012,male,45_59,1.3136354
DZA,Algeria,2012,male,60_PLUS,1.6673662
DZA,Algeria,2012,male,ALL,1.0110291
DZA,Algeria,2013,both,ALL,1.2495389
DZA,Algeria,2013,female,30_44,0.1839293
DZA,Algeria,2013,female,45_59,0.2834680
DZA,Algeria,2013,female,60_PLUS,0.2642988
DZA,Algeria,2013,female,ALL,0.2080893
DZA,Algeria,2013,male,30_44,0.8681300
DZA,Algeria,2013,male,45_59,1.1111545
DZA,Algeria,2013,male,60_PLUS,1.3149785
DZA,Algeria,2013,male,ALL,0.8641630
DZA,Algeria,2014,both,ALL,1.4717499
DZA,Algeria,2014,female,30_44,0.6700349
DZA,Algeria,2014,female,45_59,0.6619085
DZA,Algeria,2014,female,60_PLUS,0.4435589
DZA,Algeria,2014,female,ALL,0.4466896
DZA,Algeria,2014,male,30_44,3.7118460
DZA,Algeria,2014,male,45_59,2.7665522
DZA,Algeria,2014,male,60_PLUS,2.7104786
DZA,Algeria,2014,male,ALL,2.4492204
DZA,Algeria,2015,both,ALL,1.3643339
DZA,Algeria,2015,female,30_44,0.6954785
DZA,Algeria,2015,female,45_59,0.5619535
DZA,Algeria,2015,female,60_PLUS,0.4252209
DZA,Algeria,2015,female,ALL,0.3632988
DZA,Algeria,2015,male,30_44,4.0860153
DZA,Algeria,2015,male,45_59,2.2022434
DZA,Algeria,2015,male,60_PLUS,1.7064162
DZA,Algeria,2015,male,ALL,2.3197455
DZA,Algeria,2016,both,ALL,1.3267820
DZA,Algeria,2016,female,ALL,0.3758163
DZA,Algeria,2016,male,ALL,2.2350739
DZA,Algeria,2017,both,ALL,1.2569173
DZA,Algeria,2017,female,ALL,0.2748727
DZA,Algeria,2017,male,ALL,2.1955100
DZA,Algeria,2018,both,ALL,1.3363123
DZA,Algeria,2018,female,ALL,0.4138547
DZA,Algeria,2018,male,ALL,2.2186629
DZA,Algeria,2019,both,ALL,1.1987653
DZA,Algeria,2019,female,ALL,0.4061249
DZA,Algeria,2019,male,ALL,1.9576114
DZA,Algeria,2020,both,ALL,1.4849431
DZA,Algeria,2020,female,ALL,0.5660789
DZA,Algeria,2020,male,ALL,2.3654616
DZA,Algeria,2021,both,ALL,1.5526875
DZA,Algeria,2021,female,ALL,0.7301711
DZA,Algeria,2021,male,ALL,2.3415178
DZA,Algeria,2022,both,ALL,1.7481214
DZA,Algeria,2022,female,0_9,0.1457684
DZA,Algeria,2022,female,10_14,0.0000000
DZA,Algeria,2022,female,15_17,0.2956655
DZA,Algeria,2022,female,18_19,0.1694733
DZA,Algeria,2022,female,20_24,0.7160992
DZA,Algeria,2022,female,25_29,1.0717837
DZA,Algeria,2022,female,30_44,0.8468482
DZA,Algeria,2022,female,45_59,0.3488653
DZA,Algeria,2022,female,60_PLUS,0.6877131
DZA,Algeria,2022,female,ALL,0.5029071
DZA,Algeria,2022,male,0_9,0.1599304
DZA,Algeria,2022,male,10_14,0.4172461
DZA,Algeria,2022,male,15_17,0.7535642
DZA,Algeria,2022,male,18_19,1.2996381
DZA,Algeria,2022,male,20_24,3.0347601
DZA,Algeria,2022,male,25_29,6.0587825
DZA,Algeria,2022,male,30_44,7.5015614
DZA,Algeria,2022,male,45_59,1.3310122
DZA,Algeria,2022,male,60_PLUS,1.7070960
DZA,Algeria,2022,male,ALL,2.9430934
DZA,Algeria,2023,both,ALL,1.1610724
DZA,Algeria,2023,female,ALL,0.4642939
DZA,Algeria,2023,male,ALL,1.8302081
ASM,American Samoa,2001,both,ALL,1.7527408
ASM,American Samoa,2002,both,ALL,12.2674658
ASM,American Samoa,2003,both,ALL,5.2658832
ASM,American Samoa,2004,both,ALL,7.0400225
ASM,American Samoa,2005,both,ALL,10.5975237
ASM,American Samoa,2006,both,ALL,7.0954066
ASM,American Samoa,2007,both,ALL,1.7821182
ASM,American Samoa,2008,both,ALL,5.3736476
ASM,American Samoa,2009,both,ALL,3.6017865
ASM,American Samoa,2010,both,ALL,9.0532968
ASM,American Samoa,2011,both,ALL,9.1082147
ASM,American Samoa,2012,both,ALL,3.6704656
ASM,American Samoa,2013,both,ALL,5.5549383
ASM,American Samoa,2014,both,ALL,5.6110425
ASM,American Samoa,2015,both,ALL,7.5645826
ASM,American Samoa,2016,both,ALL,0.0000000
ASM,American Samoa,2016,female,ALL,0.0000000
ASM,American Samoa,2016,male,ALL,0.0000000
ASM,American Samoa,2017,both,ALL,13.5695731
ASM,American Samoa,2017,female,ALL,3.9360781
ASM,American Samoa,2017,male,ALL,22.9182582
ASM,American Samoa,2018,both,ALL,25.5360107
ASM,American Samoa,2018,female,ALL,3.9843812
ASM,American Samoa,2018,male,ALL,46.4927065
ASM,American Samoa,2019,both,ALL,0.0000000
ASM,American Samoa,2019,female,ALL,0.0000000
ASM,American Samoa,2019,male,ALL,0.0000000
AND,Andorra,2004,both,ALL,1.3454423
AND,Andorra,2007,both,ALL,0.0000000
AND,Andorra,2007,female,30_44,0.0000000
AND,Andorra,2007,female,45_59,0.0000000
AND,Andorra,2007,female,60_PLUS,0.0000000
AND,Andorra,2007,female,ALL,0.0000000
AND,Andorra,2007,male,30_44,0.0000000
AND,Andorra,2007,male,45_59,0.0000000
AND,Andorra,2007,male,60_PLUS,0.0000000
AND,Andorra,2007,male,ALL,0.0000000
AND,Andorra,2008,both,ALL,1.1976837
AND,Andorra,2008,female,30_44,0.0000000
AND,Andorra,2008,female,45_59,0.0000000
AND,Andorra,2008,female,60_PLUS,0.0000000
AND,Andorra,2008,female,ALL,2.5112693
AND,Andorra,2008,male,30_44,0.0000000
AND,Andorra,2008,male,45_59,0.0000000
AND,Andorra,2008,male,60_PLUS,0.0000000
AND,Andorra,2008,male,ALL,0.0000000
AND,Andorra,2009,both,ALL,0.0000000
AND,Andorra,2009,female,30_44,0.0000000
AND,Andorra,2009,female,45_59,12.0242891
AND,Andorra,2009,female,60_PLUS,0.0000000
AND,Andorra,2009,female,ALL,0.0000000
AND,Andorra,2009,male,30_44,0.0000000
AND,Andorra,2009,male,45_59,0.0000000
AND,Andorra,2009,male,60_PLUS,0.0000000
AND,Andorra,2009,male,ALL,0.0000000
AND,Andorra,2010,both,ALL,0.0000000
AND,Andorra,2010,female,30_44,0.0000000
AND,Andorra,2010,female,45_59,0.0000000
AND,Andorra,2010,female,60_PLUS,0.0000000
AND,Andorra,2010,female,ALL,0.0000000
AND,Andorra,2010,male,30_44,8.5477391
AND,Andorra,2010,male,45_59,0.0000000
AND,Andorra,2010,male,60_PLUS,0.0000000
AND,Andorra,2010,male,ALL,0.0000000
AND,Andorra,2011,both,ALL,1.2856280
AND,Andorra,2011,female,30_44,0.0000000
AND,Andorra,2011,female,45_59,0.0000000
AND,Andorra,2011,female,60_PLUS,0.0000000
AND,Andorra,2011,female,ALL,0.0000000
AND,Andorra,2011,male,30_44,9.0826521
AND,Andorra,2011,male,45_59,0.0000000
AND,Andorra,2011,male,60_PLUS,0.0000000
AND,Andorra,2011,male,ALL,2.5200343
AND,Andorra,2012,both,ALL,0.0000000
AND,Andorra,2012,female,30_44,0.0000000
AND,Andorra,2012,female,45_59,0.0000000
AND,Andorra,2012,female,60_PLUS,0.0000000
AND,Andorra,2012,female,ALL,0.0000000
AND,Andorra,2012,male,30_44,0.0000000
AND,Andorra,2012,male,45_59,0.0000000
AND,Andorra,2012,male,60_PLUS,0.0000000
AND,Andorra,2012,male,ALL,0.0000000
AND,Andorra,2013,both,ALL,0.0000000
AND,Andorra,2013,female,30_44,0.0000000
AND,Andorra,2013,female,45_59,0.0000000
AND,Andorra,2013,female,60_PLUS,0.0000000
AND,Andorra,2013,female,ALL,0.0000000
AND,Andorra,2013,male,30_44,0.0000000
AND,Andorra,2013,male,45_59,0.0000000
AND,Andorra,2013,male,60_PLUS,0.0000000
AND,Andorra,2013,male,ALL,0.0000000
AND,Andorra,2014,both,ALL,0.0000000
AND,Andorra,2014,female,30_44,0.0000000
AND,Andorra,2014,female,45_59,0.0000000
AND,Andorra,2014,female,60_PLUS,0.0000000
AND,Andorra,2014,female,ALL,0.0000000
AND,Andorra,2014,male,30_44,0.0000000
AND,Andorra,2014,male,45_59,0.0000000
AND,Andorra,2014,male,60_PLUS,0.0000000
AND,Andorra,2014,male,ALL,0.0000000
AND,Andorra,2015,both,ALL,0.0000000
AND,Andorra,2015,female,30_44,0.0000000
AND,Andorra,2015,female,45_59,0.0000000
AND,Andorra,2015,female,60_PLUS,0.0000000
AND,Andorra,2015,female,ALL,0.0000000
AND,Andorra,2015,male,30_44,0.0000000
AND,Andorra,2015,male,45_59,0.0000000
AND,Andorra,2015,male,60_PLUS,0.0000000
AND,Andorra,2015,male,ALL,0.0000000
AND,Andorra,2020,both,ALL,2.5846472
AND,Andorra,2020,male,ALL,5.0779465
AGO,Angola,2011,both,ALL,4.3562007
AGO,Angola,2012,both,ALL,4.8337012
AGO,Angola,2015,both,ALL,4.4534732
AGO,Angola,2016,both,ALL,4.0982666
AIA,Anguilla,1990,both,ALL,0.0000000
AIA,Anguilla,1991,both,ALL,11.4909509
AIA,Anguilla,1991,female,ALL,0.0000000
AIA,Anguilla,1991,male,ALL,23.1000231
AIA,Anguilla,1992,both,ALL,0.0000000
AIA,Anguilla,1993,both,ALL,10.8365843
AIA,Anguilla,1993,female,ALL,21.5238915
AIA,Anguilla,1993,male,ALL,0.0000000
AIA,Anguilla,1994,both,ALL,0.0000000
AIA,Anguilla,1995,both,ALL,10.2944204
AIA,Anguilla,1996,both,ALL,0.0000000
AIA,Anguilla,1997,both,ALL,9.7527673
AIA,Anguilla,1998,both,ALL,0.0000000
AIA,Anguilla,1999,both,ALL,0.0000000
AIA,Anguilla,2000,both,ALL,8.9473449
AIA,Anguilla,2000,female,ALL,0.0000000
AIA,Anguilla,2000,male,ALL,18.1933958
AIA,Anguilla,2001,both,ALL,0.0000000
AIA,Anguilla,2002,both,ALL,17.1137637
AIA,Anguilla,2003,both,ALL,16.8428144
AIA,Anguilla,2004,both,ALL,8.2867205
AIA,Anguilla,2005,both,ALL,0.0000000
AIA,Anguilla,2006,both,ALL,40.0978387
AIA,Anguilla,2007,both,ALL,31.5556958
AIA,Anguilla,2008,both,ALL,7.7582528
AIA,Anguilla,2008,female,ALL,0.0000000
AIA,Anguilla,2008,male,ALL,15.8040300
AIA,Anguilla,2009,both,ALL,7.6257292
AIA,Anguilla,2009,female,ALL,0.0000000
AIA,Anguilla,2009,male,ALL,15.5279503
AIA,Anguilla,2010,both,ALL,0.0000000
AIA,Anguilla,2011,both,ALL,0.0000000
AIA,Anguilla,2012,both,ALL,37.3720009
AIA,Anguilla,2013,both,ALL,7.5460308
AIA,Anguilla,2013,female,ALL,0.0000000
AIA,Anguilla,2013,male,ALL,15.4404385
AIA,Anguilla,2014,both,ALL,29.1364679
ATG,Antigua and Barbuda,1990,both,ALL,1.5856279
ATG,Antigua and Barbuda,1990,female,ALL,3.0915724
ATG,Antigua and Barbuda,1990,male,ALL,0.0000000
ATG,Antigua and Barbuda,1991,both,ALL,4.7328317
ATG,Antigua and Barbuda,1991,female,ALL,6.1689363
ATG,Antigua and Barbuda,1991,male,ALL,3.2292962
ATG,Antigua and Barbuda,1992,both,ALL,3.1053731
ATG,Antigua and Barbuda,1992,female,ALL,3.0292933
ATG,Antigua and Barbuda,1992,male,ALL,3.1853728
ATG,Antigua and Barbuda,1993,both,ALL,6.0987696
ATG,Antigua and Barbuda,1993,female,ALL,0.0000000
ATG,Antigua and Barbuda,1993,male,ALL,12.5762435
ATG,Antigua and Barbuda,1994,both,ALL,7.4802708
ATG,Antigua and Barbuda,1994,female,ALL,2.8909672
ATG,Antigua and Barbuda,1994,male,ALL,12.4023316
ATG,Antigua and Barbuda,1995,both,ALL,10.2656606
ATG,Antigua and Barbuda,1995,female,ALL,5.6416694
ATG,Antigua and Barbuda,1995,male,ALL,15.2727717
ATG,Antigua and Barbuda,1996,both,ALL,4.3096327
ATG,Antigua and Barbuda,1996,female,ALL,2.7506911
ATG,Antigua and Barbuda,1996,male,ALL,6.0137715
ATG,Antigua and Barbuda,1997,both,ALL,1.4074001
ATG,Antigua and Barbuda,1997,female,ALL,0.0000000
ATG,Antigua and Barbuda,1997,male,ALL,2.9589738
ATG,Antigua and Barbuda,2000,both,ALL,6.6744981
ATG,Antigua and Barbuda,2001,both,ALL,9.2021717
ATG,Antigua and Barbuda,2001,female,ALL,1.9318872
ATG,Antigua and Barbuda,2001,male,ALL,17.3761407
ATG,Antigua and Barbuda,2002,both,ALL,6.4908090
ATG,Antigua and Barbuda,2002,female,ALL,3.0657167
ATG,Antigua and Barbuda,2002,male,ALL,10.3424025
ATG,Antigua and Barbuda,2003,both,ALL,6.4198038
ATG,Antigua and Barbuda,2004,both,ALL,5.0813331
ATG,Antigua and Barbuda,2005,both,ALL,3.7683471
ATG,Antigua and Barbuda,2006,both,ALL,13.6469654
ATG,Antigua and Barbuda,2007,both,ALL,20.8068148
ATG,Antigua and Barbuda,2008,both,ALL,19.2975685
ATG,Antigua and Barbuda,2008,female,ALL,11.4406004
ATG,Antigua and Barbuda,2008,male,ALL,28.0554989
ATG,Antigua and Barbuda,2009,both,ALL,19.0084707
ATG,Antigua and Barbuda,2010,both,ALL,7.0323076
ATG,Antigua and Barbuda,2012,both,ALL,11.4600046
ATG,Antigua and Barbuda,2015,female,45_59,10.1224820
ATG,Antigua and Barbuda,2015,female,ALL,2.1291998
ATG,Antigua and Barbuda,2015,male,18_19,66.6666667
ATG,Antigua and Barbuda,2015,male,25_29,28.7811196
ATG,Antigua and Barbuda,2015,male,30_44,10.6445261
ATG,Antigua and Barbuda,2015,male,45_59,12.1884332
ATG,Antigua and Barbuda,2015,male,ALL,9.4244045
ATG,Antigua and Barbuda,2016,female,45_59,9.8780066
ATG,Antigua and Barbuda,2016,female,ALL,4.2329386
ATG,Antigua and Barbuda,2016,male,30_44,31.8962309
ATG,Antigua and Barbuda,2016,male,60_PLUS,20.7447360
ATG,Antigua and Barbuda,2016,male,ALL,16.3855760
ATG,Antigua and Barbuda,2017,both,ALL,22.1072645
ATG,Antigua and Barbuda,2017,female,0_9,0.0000000
ATG,Antigua and Barbuda,2017,female,10_14,0.0000000
ATG,Antigua and Barbuda,2017,female,15_17,0.0000000
ATG,Antigua and Barbuda,2017,female,18_19,0.0000000
ATG,Antigua and Barbuda,2017,female,20_24,0.0000000
ATG,Antigua and Barbuda,2017,female,25_29,0.0000000
ATG,Antigua and Barbuda,2017,female,30_44,0.0000000
ATG,Antigua and Barbuda,2017,female,45_59,9.7012029
ATG,Antigua and Barbuda,2017,female,60_PLUS,0.0000000
ATG,Antigua and Barbuda,2017,female,ALL,4.2106593
ATG,Antigua and Barbuda,2017,male,0_9,0.0000000
ATG,Antigua and Barbuda,2017,male,10_14,0.0000000
ATG,Antigua and Barbuda,2017,male,15_17,0.0000000
ATG,Antigua and Barbuda,2017,male,18_19,0.0000000
ATG,Antigua and Barbuda,2017,male,20_24,27.3672688
ATG,Antigua and Barbuda,2017,male,25_29,143.1229426
ATG,Antigua and Barbuda,2017,male,30_44,63.5593220
ATG,Antigua and Barbuda,2017,male,45_59,0.0000000
ATG,Antigua and Barbuda,2017,male,60_PLUS,59.4294770
ATG,Antigua and Barbuda,2017,male,ALL,41.8901779
ATG,Antigua and Barbuda,2018,both,ALL,13.1975453
ATG,Antigua and Barbuda,2018,female,0_9,0.0000000
ATG,Antigua and Barbuda,2018,female,10_14,0.0000000
ATG,Antigua and Barbuda,2018,female,15_17,0.0000000
ATG,Antigua and Barbuda,2018,female,18_19,0.0000000
ATG,Antigua and Barbuda,2018,female,20_24,0.0000000
ATG,Antigua and Barbuda,2018,female,25_29,0.0000000
ATG,Antigua and Barbuda,2018,female,30_44,0.0000000
ATG,Antigua and Barbuda,2018,female,45_59,0.0000000
ATG,Antigua and Barbuda,2018,female,60_PLUS,0.0000000
ATG,Antigua and Barbuda,2018,female,ALL,6.2858819
ATG,Antigua and Barbuda,2018,male,0_9,0.0000000
ATG,Antigua and Barbuda,2018,male,10_14,0.0000000
ATG,Antigua and Barbuda,2018,male,15_17,0.0000000
ATG,Antigua and Barbuda,2018,male,18_19,0.0000000
ATG,Antigua and Barbuda,2018,male,20_24,81.7995910
ATG,Antigua and Barbuda,2018,male,25_29,114.3347149
ATG,Antigua and Barbuda,2018,male,30_44,10.5152471
ATG,Antigua and Barbuda,2018,male,45_59,11.5520129
ATG,Antigua and Barbuda,2018,male,60_PLUS,18.8465888
ATG,Antigua and Barbuda,2018,male,ALL,20.8333333
ATG,Antigua and Barbuda,2019,both,ALL,3.2835870
ATG,Antigua and Barbuda,2019,female,0_9,0.0000000
ATG,Antigua and Barbuda,2019,female,10_14,0.0000000
ATG,Antigua and Barbuda,2019,female,15_17,0.0000000
ATG,Antigua and Barbuda,2019,female,18_19,0.0000000
ATG,Antigua and Barbuda,2019,female,20_24,0.0000000
ATG,Antigua and Barbuda,2019,female,25_29,54.7045952
ATG,Antigua and Barbuda,2019,female,30_44,0.0000000
ATG,Antigua and Barbuda,2019,female,45_59,0.0000000
ATG,Antigua and Barbuda,2019,female,60_PLUS,0.0000000
ATG,Antigua and Barbuda,2019,female,ALL,2.0859625
ATG,Antigua and Barbuda,2019,male,0_9,0.0000000
ATG,Antigua and Barbuda,2019,male,10_14,0.0000000
ATG,Antigua and Barbuda,2019,male,15_17,0.0000000
ATG,Antigua and Barbuda,2019,male,18_19,0.0000000
ATG,Antigua and Barbuda,2019,male,20_24,0.0000000
ATG,Antigua and Barbuda,2019,male,25_29,0.0000000
ATG,Antigua and Barbuda,2019,male,30_44,10.4096185
ATG,Antigua and Barbuda,2019,male,45_59,0.0000000
ATG,Antigua and Barbuda,2019,male,60_PLUS,0.0000000
ATG,Antigua and Barbuda,2019,male,ALL,4.6057480
ATG,Antigua and Barbuda,2020,both,ALL,9.7990114
ATG,Antigua and Barbuda,2020,female,0_9,0.0000000
ATG,Antigua and Barbuda,2020,female,10_14,0.0000000
ATG,Antigua and Barbuda,2020,female,15_17,0.0000000
ATG,Antigua and Barbuda,2020,female,18_19,0.0000000
ATG,Antigua and Barbuda,2020,female,20_24,0.0000000
ATG,Antigua and Barbuda,2020,female,25_29,0.0000000
ATG,Antigua and Barbuda,2020,female,30_44,0.0000000
ATG,Antigua and Barbuda,2020,female,45_59,9.5278929
ATG,Antigua and Barbuda,2020,female,60_PLUS,0.0000000
ATG,Antigua and Barbuda,2020,female,ALL,2.0756146
ATG,Antigua and Barbuda,2020,male,0_9,0.0000000
ATG,Antigua and Barbuda,2020,male,10_14,0.0000000
ATG,Antigua and Barbuda,2020,male,15_17,0.0000000
ATG,Antigua and Barbuda,2020,male,18_19,0.0000000
ATG,Antigua and Barbuda,2020,male,20_24,0.0000000
ATG,Antigua and Barbuda,2020,male,25_29,56.7214975
ATG,Antigua and Barbuda,2020,male,30_44,51.4747516
ATG,Antigua and Barbuda,2020,male,45_59,11.4083623
ATG,Antigua and Barbuda,2020,male,60_PLUS,0.0000000
