OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-03-26T01:37:41.039904,14.46077686,.00418026,24.9710,0.7740,338.5484,43.8947,0,U,22490,999,74907,.82448864E-4,.487E-5,0
UFO 2 (USA 95),1993-056A,2026-03-25T21:31:38.727264,1.00273854,.00090359,11.8663,4.0067,344.4124,186.4871,0,U,22787,999,11771,0,.116E-5,0
STELLA,1993-061B,2026-03-26T11:51:50.340096,14.27468016,.0007391,98.7807,149.4196,113.9973,14.0237,0,U,22824,999,69297,-.1619E-5,-.49E-6,0
EYESAT A (AO-27),1993-061C,2026-03-26T10:03:31.834944,14.30918476,.0008041,98.6950,152.8392,351.2165,8.8875,0,U,22825,999,69516,.5692E-4,.105E-5,0
ITAMSAT (IO-26),1993-061D,2026-03-26T10:09:17.802144,14.31342978,.0008228,98.6897,152.7522,333.4856,26.5905,0,U,22826,999,69547,.59749E-4,.113E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-03-26T07:35:43.084032,1.00273467,.0003857,17.4957,28.6023,321.4887,217.6109,0,U,22988,999,3212,0,-.209E-5,0
RADIO ROSTO (RS15),1994-085A,2026-03-26T10:59:10.540032,11.27583798,.0153305,64.8142,77.0107,18.9068,341.7464,0,U,23439,999,28657,-.21348E-3,-.5E-6,0
UFO 4 (USA 108),1995-003A,2026-03-25T15:18:49.976352,1.00276697,.000375,9.6888,13.5024,355.4717,216.2926,0,U,23467,999,11411,0,-.29E-6,0
TDRS 7,1995-035B,2026-03-25T23:32:50.394912,1.00270834,.00091803,13.4119,348.7613,53.2079,223.7605,0,U,23613,999,11241,0,-.247E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-03-26T09:15:38.575296,1.00273602,.0003795,14.0442,4.3636,346.0529,212.3106,0,U,23712,999,3205,0,-.3E-6,0
POLAR,1996-013A,2026-03-25T20:28:06.821472,1.29845740,.6386045,79.7707,228.0083,211.9148,84.9621,0,U,23802,999,14377,0,.163E-5,0
INMARSAT 3-F1,1996-020A,2026-03-26T04:32:45.631392,1.00001006,.000512,10.4302,47.3846,294.5374,258.8180,0,U,23839,999,10942,0,-.155E-5,0
USA 119,1996-029A,2026-03-26T06:46:47.648352,13.45958334,.084715,63.3213,49.0100,47.9009,319.0954,0,U,23893,999,9411,.39904E-3,.233E-4,0
JAS-2 (FO-29),1996-046B,2026-03-26T10:18:11.136384,13.53269861,.0349141,98.5353,305.5826,311.3047,45.8517,0,U,24278,999,46197,-.24675E-5,-.41E-6,0
INMARSAT 3-F2,1996-053A,2026-03-26T10:50:05.966016,0.99981667,.0006372,9.6710,54.7638,316.1799,206.9791,0,U,24307,999,10809,0,.64E-6,0
INMARSAT 3-F3,1996-070A,2026-03-26T06:55:39.425664,0.99993974,.0005995,10.1408,50.4316,291.1577,75.7913,0,U,24674,999,10708,0,-.366E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-03-25T22:31:51.021408,2.00563869,.00986288,55.9485,101.8284,56.1465,304.8335,0,U,24876,999,21028,0,.34E-6,0
FORTE,1997-047A,2026-03-26T10:27:25.852896,14.27907850,.002054,69.9536,200.9264,24.4121,335.7969,0,U,24920,999,48687,.97324E-4,.184E-5,0
AMC-3,1997-050A,2026-03-26T07:59:38.657184,1.00270158,.0003299,7.9441,65.0158,302.0986,224.5564,0,U,24936,999,5160,0,-.274E-5,0
USA 134,1997-065A,2026-03-26T09:28:38.732736,1.00267895,.0006521,12.6874,22.3357,314.5998,236.7009,0,U,25019,999,3212,0,-.72E-6,0
ORBCOMM FM06,1997-084G,2026-03-26T09:44:47.122944,14.47326385,.0002714,45.0131,91.1555,265.8577,248.1516,0,U,25118,999,48239,.42719E-3,.1434E-4,0
INMARSAT 3-F5,1998-006B,2026-03-26T06:03:14.453568,1.00267160,.0005234,9.5097,54.0660,313.2019,213.1828,0,U,25153,999,10306,0,-.302E-5,0
ORBCOMM FM04,1998-007C,2026-03-26T11:27:36.946944,14.35563837,.0038451,107.9604,359.2375,111.8337,248.6900,0,U,25159,999,46472,.35195E-3,.891E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-03-26T04:33:41.717952,14.22458023,.00637209,108.0045,164.7670,274.5673,104.7840,0,U,25160,999,45871,.63605965E-4,.15E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-03-26T10:59:43.919808,14.24410416,.0002345,99.0046,76.1438,92.2792,267.8654,0,U,25397,999,43955,.57645E-4,.87E-6,0
WESTPAC,1998-043E,2026-03-26T08:54:14.071680,14.23048243,.0002391,99.0091,69.4807,89.1492,270.9959,0,U,25398,999,43916,.21921E-4,.3E-7,0
ORBCOMM FM19,1998-046C,2026-03-26T13:17:01.325184,14.39313503,.0002945,44.9930,276.2968,248.1237,146.4221,0,U,25415,999,44487,.3571E-3,.977E-5,0
ORBCOMM FM20,1998-046D,2026-03-26T13:09:04.465440,14.37928574,.0000304,44.9939,283.3482,256.2809,103.8006,0,U,25416,999,44489,.29698E-3,.763E-5,0
ORBCOMM FM27,1998-053G,2026-03-26T12:07:50.515392,14.38972234,.0001355,45.0070,8.0136,311.0968,48.9763,0,U,25481,999,43832,.35688E-3,.968E-5,0
SCD 2,1998-060A,2026-03-26T09:08:14.474112,14.45491034,.0016682,24.9947,222.8152,328.8330,58.4996,0,U,25504,999,44833,.65011E-4,.415E-5,0
ISS (ZARYA),1998-067A,2026-03-26T10:08:08.506752,15.48556416,.0006244,51.6341,349.6418,234.7318,125.3087,0,U,25544,999,55892,.23936E-3,.12562E-3,0
SWAS,1998-071A,2026-03-26T10:31:55.890048,15.09000596,.0005502,69.8944,80.8159,347.8509,12.2521,0,U,25560,999,48478,.19127E-3,.2928E-4,0
ISS (UNITY),1998-069F,2026-03-26T10:08:08.506752,15.48556416,.0006244,51.6341,349.6418,234.7318,125.3087,0,U,25575,999,55858,.23936E-3,.12562E-3,0
DLR-TUBSAT,1999-029B,2026-03-26T10:01:29.412192,14.52403392,.0013156,98.6679,78.2092,239.6078,120.3816,0,U,25757,999,42123,.37843E-4,.106E-5,0
CXO,1999-040B,2026-03-28T09:32:04.518528,0.37807311,.79702519,54.9043,118.9884,310.7201,0.0501,0,U,25867,999,1701,0,.869E-5,0
ABS-6,1999-053A,2026-03-26T11:36:38.765664,1.00270939,.0002852,0.0236,118.6825,254.4506,143.9502,0,U,25924,999,9701,0,-.136E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-03-26T13:02:27.758976,2.00566466,.0106382,51.5379,299.0828,172.2586,195.7591,0,U,25933,999,19392,0,-.27E-6,0
UFO 10 (USA 146),1999-063A,2026-03-26T05:31:14.587680,1.00269117,.0004692,9.8368,27.6436,315.3570,260.5728,0,U,25967,999,9651,0,-.199E-5,0
ORBCOMM FM32,1999-065C,2026-03-26T06:50:32.200224,14.36998651,.0004689,45.0149,205.6079,354.9970,5.0831,0,U,25982,999,37516,.32889E-3,.842E-5,0
XMM-NEWTON,1999-066A,2026-03-28T13:41:19.441824,0.50130102,.4701716,64.8900,284.0244,66.3714,0.0425,0,U,25989,999,2260,0,.58E-6,0
TERRA,1999-068A,2026-03-26T12:04:26.952672,14.61031859,.0003511,97.9558,138.2927,116.2992,350.8558,0,U,25994,999,39753,.91742E-4,.406E-5,0
ASIASTAR,2000-016A,2026-03-25T20:32:27.981024,1.00267583,.0004572,8.9378,59.0306,313.9901,223.3582,0,U,26107,999,9508,0,-.343E-5,0
IMAGE,2000-017A,2026-03-23T07:17:41.237664,1.68665867,.74972504,94.1570,314.2258,297.5996,7.2515,0,U,26113,999,16005,.28850901E-2,.108E-5,0
USA 149 (DSP 20),2000-024A,2026-03-26T10:39:43.493760,1.00262912,.0001569,13.1097,12.4353,324.1097,202.2474,0,U,26356,999,3208,0,.84E-6,0
TDRS 8,2000-034A,2026-03-26T08:25:30.808128,1.00272322,.0006008,12.5544,32.0133,324.5209,38.5469,0,U,26388,999,9435,0,-.206E-5,0
ISS (ZVEZDA),2000-037A,2026-03-26T10:08:08.506752,15.48556416,.0006244,51.6341,349.6418,234.7318,125.3087,0,U,26400,999,55862,.23936E-3,.12562E-3,0
NAVSTAR 48 (USA 151),2000-040A,2026-03-25T18:30:01.865088,2.00569040,.01222669,54.8701,218.4737,302.5186,230.8348,0,U,26407,999,18827,0,.8E-7,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-03-28T19:19:19.985952,0.44808340,.8950242,149.3509,37.9375,254.2071,0.2686,0,U,26410,999,1994,0,.277E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-03-30T14:32:02.518080,0.44399863,.89567511,149.6410,39.0046,255.1525,0.3931,0,U,26464,999,1995,0,.256E-4,0
NSS-11,2000-059A,2026-03-26T12:58:07.051296,1.00271288,.000304,1.9133,82.3497,279.0244,193.1257,0,U,26554,999,4046,0,.9E-7,0
USA 153,2000-065A,2026-03-26T05:14:19.145760,1.00276596,.0003051,11.4838,36.0958,14.4329,346.0955,0,U,26575,999,3209,0,-.335E-5,0
AMC-6,2000-067A,2026-03-26T12:14:06.329472,1.00272672,.0003371,0.0464,35.0647,336.5654,220.7909,0,U,26580,999,9306,0,.72E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-03-26T03:50:02.596992,2.00569423,.01737789,55.5769,98.2319,265.8837,111.4656,0,U,26605,999,18585,0,.34E-6,0
ISS (DESTINY),2001-006B,2026-03-26T10:08:08.506752,15.48556416,.0006244,51.6341,349.6418,234.7318,125.3087,0,U,26700,999,55866,.23936E-3,.12562E-3,0
ODIN,2001-007A,2026-03-26T12:55:46.755840,15.60242883,.0005125,97.4044,122.2933,104.6524,255.5301,0,U,26702,999,37646,.51628E-3,.42148E-3,0
USA 157 (MILSTAR-2 2),2001-009A,2026-03-26T11:42:38.797920,1.00275540,.0037817,11.4532,20.2686,181.5006,7.7835,0,U,26715,999,3211,0,.98E-6,0
BSAT-2A,2001-011B,2026-03-26T10:52:43.214016,0.99175760,.0004845,10.5590,48.2393,239.5491,300.2154,0,U,26720,999,9115,0,.52E-6,0
INTELSAT 10 (IS-10),2001-019A,2026-03-26T11:39:38.715264,0.99038033,.0005491,8.8797,60.0857,276.9920,66.9127,0,U,26766,999,4475,0,.41E-6,0
OMNI-M1,2001-026A,2026-03-26T03:56:53.116224,3.92401873,.0017118,44.8668,264.3930,35.8799,324.2510,0,U,26857,999,20231,0,-.4E-7,0
USA 159 (DSP 21),2001-033A,2026-03-26T10:42:38.590272,0.99197297,.0000726,12.7041,16.9909,261.7649,294.2015,0,U,26880,999,3213,0,.51E-6,0
INTELSAT 902 (IS-902),2001-039A,2026-03-26T08:40:10.583040,1.00271894,.0004636,5.9087,72.7821,292.7795,258.1963,0,U,26900,999,8986,0,-.296E-5,0
PCSAT (NO-44),2001-043C,2026-03-26T09:23:51.040608,14.31920047,.000692,67.0488,98.4150,264.8280,95.2032,0,U,26931,999,27859,.87613E-4,.152E-5,0
PROBA-1,2001-049B,2026-03-26T11:43:54.721056,15.07131428,.0056442,97.9642,91.1441,43.6212,316.9456,0,U,26958,999,33116,.29625E-3,.4545E-4,0
TIMED,2001-055B,2026-03-26T07:23:33.665856,14.95075249,.0002837,74.0684,41.8688,254.6193,105.4678,0,U,26998,999,31843,.14693E-3,.1571E-4,0
MAROC-TUBSAT,2001-056D,2026-03-26T09:55:49.195776,13.70258766,.0019755,99.8033,260.7220,357.2307,32.4892,0,U,27004,999,21485,.32608E-4,-.18E-6,0
COSMOS 2385,2001-058B,2026-03-26T12:27:00.286848,12.60564050,.0007004,82.5327,272.7224,64.5034,31.9088,0,U,27056,999,11536,.65012E-3,.124E-5,0
COSMOS 2386,2001-058C,2026-03-26T10:57:56.101248,12.61614947,.0000588,82.5387,267.1310,105.4576,254.6579,0,U,27057,999,11607,.12981E-3,.34E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-03-26T01:15:49.519008,1.00278035,.00998174,11.0820,22.4040,5.6752,193.4383,0,U,27168,999,3212,0,.89E-6,0
INTELSAT 904 (IS-904),2002-007A,2026-03-26T07:52:18.991776,1.00270566,.0006879,6.7141,70.1644,319.5126,240.6914,0,U,27380,999,5093,0,-.238E-5,0
AQUA,2002-022A,2026-03-26T12:31:51.180096,14.62013935,.0001041,98.4202,53.1973,117.5722,310.4425,0,U,27424,999,27119,.19997E-3,.954E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-03-26T13:22:06.459744,1.00271368,.0003465,4.6674,76.3234,287.4968,270.5978,0,U,27426,999,8729,0,-.71E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-03-24T00:36:24.558336,1.00272842,.00029248,6.5401,70.8110,296.5315,46.0717,0,U,27438,999,5050,0,.9E-6,0
GALAXY 3C (G-3C),2002-030A,2026-03-26T04:08:55.416768,1.00270771,.0001128,3.5176,79.1254,28.7887,43.0849,0,U,27445,999,4566,0,-.166E-5,0
COSMOS 2390,2002-036A,2026-03-26T11:40:37.976160,12.44620746,.0026668,82.4858,36.6581,79.1020,281.3059,0,U,27464,999,7738,.16639E-3,.34E-6,0
COSMOS 2391,2002-036B,2026-03-26T12:35:31.232256,12.44943483,.002753,82.4860,33.2013,73.4306,286.9795,0,U,27465,999,7756,.12225E-3,.28E-6,0
INTELSAT 906 (IS-906),2002-041A,2026-03-26T11:45:00.700416,1.00273651,.0003119,5.5930,73.9275,300.5655,49.8497,0,U,27513,999,8619,0,-.1E-7,0
LATINSAT B,2002-058B,2026-03-26T09:58:43.900032,14.76898110,.0086104,64.5537,144.3284,286.1394,73.0244,0,U,27606,999,24987,.11912E-3,.74E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-03-26T05:00:01.267200,14.82846579,.0075418,64.5548,25.6815,277.6471,81.6074,0,U,27607,999,25215,.18689E-3,.1437E-4,0
LATINSAT A,2002-058H,2026-03-26T01:49:56.933760,14.85306242,.00562513,64.5540,219.6830,260.4522,99.0225,0,U,27612,999,25528,.15868732E-3,.125E-4,0
NIMIQ 2,2002-062A,2026-03-25T22:56:47.853024,1.00271906,.00063415,9.2552,57.7605,305.1172,55.5383,0,U,27632,999,4335,0,-.79E-6,0
CORIOLIS,2003-001A,2026-03-26T01:08:55.326912,14.19918961,.00151668,98.7161,93.1940,92.4622,267.8291,0,U,27640,999,20242,.88146423E-4,.144E-5,0
SORCE,2003-004A,2026-03-26T12:11:30.132960,15.03222323,.0017117,39.9924,13.2259,183.4308,176.6371,0,U,27651,999,25945,.23417E-3,.3084E-4,0
NAVSTAR 51 (USA 166),2003-005A,2026-03-25T21:47:19.166208,2.00564968,.0148557,54.9017,218.2758,52.8512,355.0751,0,U,27663,999,16964,0,.6E-7,0
USA 167,2003-008A,2026-03-26T10:55:38.453088,1.00269395,.0005674,10.7991,44.1359,293.4206,248.3460,0,U,27691,999,594,0,-.6E-7,0
NAVSTAR 52 (USA 168),2003-010A,2026-03-25T21:45:50.944032,1.94742937,.0004368,54.8614,328.2980,348.3821,189.4332,0,U,27704,999,16829,0,-.75E-6,0
USA 169 (MILSTAR-2 4),2003-012A,2026-03-26T03:36:36.019296,1.00272998,.01010818,12.2255,30.5051,4.6204,354.7627,0,U,27711,999,3211,0,-.261E-5,0
ASIASAT 4,2003-014A,2026-03-26T12:04:51.665664,1.00271591,.0002669,4.4933,76.7729,293.9408,142.0029,0,U,27718,999,4447,0,-.236E-5,0
HELLAS-SAT 2,2003-020A,2026-03-26T06:15:43.255584,1.00271663,.0006528,7.1494,68.8606,258.1238,300.6357,0,U,27811,999,4201,0,-.96E-6,0
THURAYA-2,2003-026A,2026-03-25T23:40:28.663104,1.00271403,.00037139,8.7130,32.3022,322.3408,227.9127,0,U,27825,999,8351,0,.115E-5,0
OPTUS C1,2003-028B,2026-03-26T06:09:38.705472,1.00273163,.0006128,6.6833,70.3997,292.1171,69.2959,0,U,27831,999,5223,0,-.164E-5,0
MOST,2003-031D,2026-03-26T10:10:55.233696,14.21303618,.0010768,98.7082,94.2962,127.7359,232.4796,0,U,27843,999,17895,.59276E-4,.86E-6,0
CUTE-1 (CO-55),2003-031E,2026-03-26T00:03:41.036256,14.24279092,.00106894,98.6775,94.5993,70.0800,290.1530,0,U,27844,999,17983,.16369092E-3,.334E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-03-25T22:47:16.792224,14.23572124,.0010653,98.6808,94.3265,86.4742,273.7655,0,U,27848,999,17953,.14051E-3,.276E-5,0
SCISAT 1,2003-036A,2026-03-26T02:15:22.369824,14.81342567,.00060711,73.9316,336.4296,54.5726,305.6016,0,U,27858,999,21914,.98510398E-4,.733E-5,0
COSMOS 2400,2003-037A,2026-03-26T13:06:37.349568,12.45188446,.0020365,82.4753,21.6633,235.5561,124.3596,0,U,27868,999,2725,.64913E-3,.102E-5,0
COSMOS 2401,2003-037B,2026-03-26T12:42:24.792768,12.45501096,.0021162,82.4749,18.0897,230.7646,129.1557,0,U,27869,999,2748,.31518E-4,.14E-6,0
USA 170,2003-040A,2026-03-26T02:26:38.721984,1.00268895,.00013526,10.3261,48.7192,346.4716,209.1425,0,U,27875,999,3216,0,.115E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-03-26T13:34:59.558304,14.73299945,.0011549,98.3459,267.5982,164.9583,266.2006,0,U,27939,999,20338,.21106E-3,.1312E-4,0
LARETS,2003-042F,2026-03-26T11:26:31.276032,14.63852590,.0011148,98.4049,245.9874,297.0474,62.9589,0,U,27944,999,20126,.22084E-4,.65E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-03-26T10:43:58.087776,1.00271135,.0002199,1.2045,84.9257,281.4238,188.5139,0,U,27954,999,4574,0,.117E-5,0
IRS-P6 (RESOURCESAT-1),2003-046A,2026-03-26T13:08:23.528256,14.36127790,.0063148,98.2013,126.0726,229.5441,290.2819,0,U,28051,999,16866,.14998E-3,.406E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2026-03-26T13:32:15.427680,14.14468341,.0007495,98.9973,108.8177,29.6300,133.4178,0,U,28054,999,15780,.90089E-4,.127E-5,0
CHUANGXIN 1 (CX-1),2003-049B,2026-03-26T10:10:44.538240,14.48539769,.0013681,98.5162,343.8590,75.4022,284.8687,0,U,28058,999,18429,.79908E-4,.255E-5,0
YAMAL 202,2003-053A,2026-03-26T07:05:16.004832,1.00273162,.0004844,6.1335,71.9385,261.6031,120.0826,0,U,28089,999,8187,0,-.92E-6,0
UFO 11 (USA 174),2003-057A,2026-03-26T10:05:24.288000,1.00272273,.0003171,8.8819,34.2236,314.2626,62.1560,0,U,28117,999,8162,0,-.115E-5,0
NAVSTAR 53 (USA 175),2003-058A,2026-03-26T00:15:14.966496,1.92678352,.00030797,54.9799,26.3467,319.3698,40.5998,0,U,28129,999,16286,0,-.8E-6,0
USA 176 (DSP 22),2004-004A,2026-03-26T12:16:29.364672,1.00431778,.0002424,11.9518,26.6732,287.3538,322.8563,0,U,28158,999,3210,0,-.221E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-03-26T11:44:08.284128,1.00271259,.0005435,5.8329,73.0020,295.2693,52.6433,0,U,28184,999,5150,0,.26E-6,0
EUTELSAT 139 WEST A,2004-008A,2026-03-26T04:37:52.640832,1.00831893,.0003031,5.6183,72.9836,25.7494,160.9208,0,U,28187,999,8052,0,.99E-6,0
NAVSTAR 54 (USA 177),2004-009A,2026-03-25T08:47:41.678304,2.00557288,.01120032,54.8994,279.0720,169.6647,2.6169,0,U,28190,999,16126,0,.17E-6,0
SHIYAN-1 (SY-1),2004-012A,2026-03-26T11:09:35.707968,15.31540980,.0004637,97.8736,158.2878,318.4114,41.6773,0,U,28220,999,19842,.45154E-3,.13682E-3,0
AMC-11,2004-017A,2026-03-26T09:28:38.732736,1.00271345,.0003091,0.0973,79.4907,282.9792,212.4169,0,U,28252,999,8003,0,-.65E-6,0
INTELSAT 10-02,2004-022A,2026-03-26T08:01:03.154656,1.00270885,.0001151,0.0314,79.0371,330.1646,253.7856,0,U,28358,999,7972,0,-.27E-6,0
NAVSTAR 55 (USA 178),2004-023A,2026-03-25T14:50:08.692224,2.00552784,.01603563,54.8028,90.0857,299.4490,235.1881,0,U,28361,999,15936,0,.26E-6,0
APRIZESAT 2,2004-025A,2026-03-26T09:57:00.188064,14.38000186,.0106511,98.0936,256.1129,139.4942,221.4236,0,U,28366,999,13974,.98287E-4,.276E-5,0
SAUDICOMSAT 1,2004-025D,2026-03-26T10:47:52.953216,14.55406082,.0030937,98.5810,93.3404,277.2856,82.4824,0,U,28369,999,15209,.10231E-3,.397E-5,0
SAUDICOMSAT 2,2004-025E,2026-03-26T10:53:45.713184,14.49922410,.005622,98.6683,95.3505,149.0923,211.3599,0,U,28370,999,14811,.96103E-4,.33E-5,0
SAUDISAT 2,2004-025F,2026-03-26T09:27:45.636480,14.56629110,.0024516,98.5509,83.2436,188.3191,171.7603,0,U,28371,999,15369,.77891E-4,.299E-5,0
APRIZESAT 1,2004-025G,2026-03-25T23:13:33.472128,14.51727224,.00454854,98.6343,93.4157,49.2918,311.2213,0,U,28372,999,14983,.90613758E-4,.319E-5,0
AURA,2004-026A,2026-03-26T11:23:03.255072,14.61185700,.0001271,98.3337,41.2893,94.1187,266.0159,0,U,28376,999,15413,.20125E-3,.943E-5,0
ANIK F2,2004-027A,2026-03-26T05:53:56.071104,1.00271812,.0003496,3.0713,80.5235,309.8096,130.7320,0,U,28378,999,4043,0,-.64E-6,0
COSMOS 2407,2004-028A,2026-03-26T09:33:36.125856,13.76326941,.0040538,82.9602,136.1559,122.9404,248.4423,0,U,28380,999,8849,.44052E-4,.59E-6,0
SHIJIAN-6 01A (SJ-6 01A),2004-035A,2026-03-26T12:53:54.751200,15.16743845,.0007973,97.5963,112.4644,69.7817,290.4272,0,U,28413,999,17493,.41429E-3,.8067E-4,0
