order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00785676,2024-10-09,P0158,S006,C022813,4,5.77,0.0,23.08,13.39,9.69
0RD00873895,2023-11-14,P0187,S065,C010456,5,6.19,0.0,30.95,17.89,13.06
0RD00149866,2024-09-26,P0128,S096,C019819,3,7.14,0.15,18.21,11.4,6.81
0RD00425353,2023-08-27,P0019,S090,C022939,3,14.56,0.0,43.68,24.17,19.51
0RD00532171,2024-10-26,P0180,S062,C014227,5,8.96,0.15,38.08,25.03,13.05
0RD00410771,2023-05-02,P0013,S034,C038636,5,5.53,0.1,24.89,13.6,11.28
0RD00014219,2024-11-20,P0160,S014,C002853,1,7.45,0.2,5.96,3.64,2.32
0RD00356715,2024-06-02,P0035,S088,C015915,1,8.89,0.0,8.89,5.06,3.83
0RD00775367,2023-01-17,P0005,S050,C010100,4,3.56,0.1,12.82,8.6,4.22
0RD00176917,2023-02-12,P0056,S045,C019754,5,10.53,0.0,52.65,27.72,24.93
0RD00669835,2024-07-26,P0070,S055,C003575,2,8.38,0.0,16.76,8.84,7.92
0RD00006214,2024-02-26,P0027,S016,C041992,2,12.85,0.2,20.56,12.51,8.05
0RD00354066,2023-12-22,P0113,S084,C004034,5,10.99,0.0,54.95,36.9,18.05
0RD00943505,2023-07-31,P0058,S014,C021550,2,5.4,0.0,10.8,6.49,4.31
0RD00733502,2024-11-30,P0043,S092,C013365,2,14.07,0.0,28.14,14.99,13.15
0RD00357037,2024-08-01,P0133,S010,C043010,1,11.22,0.2,8.98,5.38,3.59
0RD00653956,2023-02-21,P0135,S025,C019710,2,14.13,0.2,22.61,13.18,9.43
0RD00611415,2024-01-12,P0007,S062,C041209,1,7.16,0.0,7.16,4.55,2.61
0RD00830535,2023-08-28,P0121,S031,C023180,2,9.02,0.0,18.04,10.87,7.17
0RD00359939,2024-01-06,P0122,S051,C013489,3,8.77,0.0,26.31,16.42,9.89
0RD00850810,2023-12-23,P0130,S088,C014236,3,11.51,0.0,34.53,23.79,10.74
0RD00134684,2024-01-20,P0184,S085,C000194,4,6.39,0.1,23.0,16.1,6.9
0RD00093363,2024-09-01,P0149,S002,C047373,1,8.4,0.0,8.4,5.13,3.27
0RD00693379,2024-01-15,P0119,S070,C020221,4,11.22,0.0,44.88,23.38,21.5
0RD00755644,2024-10-05,P0163,S038,C049573,4,5.57,0.15,18.94,10.09,8.85
0RD00013573,2024-12-04,P0117,S082,C030496,1,10.81,0.15,9.19,5.63,3.56
0RD00738730,2024-05-30,P0022,S078,C034242,3,11.0,0.0,33.0,22.31,10.69
0RD00770947,2023-10-22,P0190,S071,C005651,3,8.61,0.0,25.83,16.93,8.9
0RD00395084,2024-02-05,P0177,S092,C038894,1,5.2,0.0,5.2,3.16,2.04
0RD00741513,2023-05-24,P0085,S034,C002384,3,12.07,0.0,36.21,18.68,17.53
0RD00959858,2024-02-02,P0164,S097,C022386,2,10.57,0.0,21.14,13.68,7.46
0RD00482595,2024-06-12,P0178,S039,C039936,4,5.11,0.0,20.44,10.47,9.97
0RD00514230,2023-01-20,P0156,S080,C025827,4,8.31,0.2,26.59,17.75,8.84
0RD00139456,2024-02-29,P0101,S086,C041504,1,3.36,0.0,3.36,2.31,1.05
0RD00609742,2024-04-27,P0119,S034,C013081,2,4.25,0.2,6.8,4.26,2.54
0RD00432937,2024-07-03,P0012,S020,C000848,3,7.24,0.0,21.72,11.89,9.83
0RD00600879,2024-02-14,P0199,S092,C034404,3,13.25,0.0,39.75,21.07,18.68
0RD00492274,2023-11-20,P0137,S013,C011160,4,13.06,0.0,52.24,33.93,18.31
0RD00665313,2024-02-14,P0105,S065,C026661,2,5.97,0.0,11.94,6.79,5.15
0RD00058735,2023-03-19,P0070,S015,C010033,1,7.73,0.15,6.57,4.24,2.33
0RD00702223,2023-06-25,P0115,S084,C024014,3,3.15,0.0,9.45,4.86,4.59
0RD00862479,2023-04-27,P0151,S020,C019490,2,5.14,0.2,8.22,5.61,2.61
0RD00230308,2024-11-06,P0167,S042,C023833,1,8.78,0.0,8.78,4.75,4.03
0RD00641323,2024-01-15,P0091,S032,C036746,5,8.77,0.0,43.85,22.53,21.32
0RD00901811,2023-02-26,P0132,S050,C012877,4,8.51,0.0,34.04,22.75,11.29
0RD00362250,2023-01-08,P0006,S037,C045067,5,14.9,0.0,74.5,40.53,33.97
0RD00563621,2024-11-06,P0150,S056,C015172,4,4.19,0.0,16.76,8.49,8.27
0RD00177965,2023-11-16,P0007,S004,C026079,4,7.98,0.0,31.92,21.71,10.21
0RD00348396,2023-04-30,P0111,S041,C006142,3,5.7,0.0,17.1,8.62,8.48
0RD00594858,2023-05-15,P0048,S026,C049414,5,12.11,0.0,60.55,30.6,29.95
0RD00325498,2024-04-29,P0045,S085,C001425,3,7.97,0.0,23.91,12.8,11.11
0RD00494895,2023-01-12,P0123,S064,C043656,2,6.99,0.0,13.98,7.27,6.71
0RD00155109,2023-09-10,P0037,S018,C043590,3,10.43,0.0,31.29,20.76,10.53
0RD00785707,2023-01-03,P0178,S082,C008511,1,4.64,0.1,4.18,2.33,1.85
0RD00075760,2023-12-03,P0049,S092,C010057,3,3.88,0.15,9.89,6.24,3.66
0RD00232445,2024-02-05,P0075,S017,C018065,3,11.46,0.1,30.94,20.18,10.76
0RD00817459,2024-10-30,P0010,S046,C043123,3,10.0,0.0,30.0,15.63,14.37
0RD00474837,2023-09-18,P0046,S065,C012434,5,14.45,0.0,72.25,46.73,25.52
0RD00664192,2023-04-27,P0078,S088,C019395,4,4.0,0.0,16.0,10.56,5.44
0RD00443953,2024-12-25,P0040,S028,C004104,3,13.05,0.0,39.15,26.37,12.78
0RD00767049,2024-04-16,P0054,S053,C007389,1,5.83,0.2,4.66,2.54,2.12
0RD00800763,2023-05-13,P0195,S085,C034535,5,14.23,0.0,71.15,45.28,25.87
0RD00685023,2024-04-17,P0104,S004,C033455,4,5.66,0.15,19.24,12.67,6.57
0RD00564651,2023-01-26,P0075,S011,C036786,3,9.72,0.0,29.16,17.19,11.97
0RD00875417,2023-09-11,P0109,S028,C044090,3,11.94,0.0,35.82,20.67,15.15
0RD00329932,2023-07-25,P0150,S084,C003199,4,8.98,0.0,35.92,21.56,14.36
0RD00035182,2024-12-05,P0116,S061,C000794,3,4.78,0.0,14.34,7.53,6.81
0RD00273221,2023-07-03,P0000,S064,C031574,2,10.87,0.0,21.74,12.84,8.9
0RD00966920,2023-11-17,P0000,S025,C019239,2,5.59,0.0,11.18,6.94,4.24
0RD00439650,2024-03-14,P0055,S064,C020928,3,6.24,0.0,18.72,12.98,5.74
0RD00242903,2023-02-12,P0006,S020,C029030,3,12.09,0.1,32.64,19.91,12.73
0RD00684722,2023-08-20,P0116,S077,C034171,5,8.42,0.0,42.1,26.85,15.25
0RD00142896,2024-01-24,P0167,S076,C044745,5,3.02,0.1,13.59,8.23,5.36
0RD00907336,2023-03-31,P0137,S096,C017753,5,10.01,0.0,50.05,27.13,22.92
0RD00799972,2024-11-13,P0069,S067,C009345,2,14.02,0.15,23.83,13.89,9.95
0RD00719584,2024-09-30,P0031,S059,C023323,3,8.09,0.0,24.27,14.06,10.21
0RD00525660,2024-04-01,P0026,S004,C036223,3,4.35,0.0,13.05,7.49,5.56
0RD00611858,2023-01-06,P0102,S100,C023972,4,14.54,0.15,49.44,29.82,19.62
0RD00773199,2024-06-04,P0023,S023,C022797,3,9.0,0.0,27.0,17.52,9.48
0RD00699279,2023-12-12,P0005,S035,C020147,4,13.08,0.0,52.32,34.46,17.86
0RD00382537,2024-03-14,P0190,S058,C031050,1,7.97,0.0,7.97,4.98,2.99
0RD00664132,2023-04-13,P0048,S078,C043231,4,12.19,0.15,41.45,24.78,16.66
0RD00846047,2023-12-07,P0020,S024,C030272,2,14.84,0.0,29.68,17.74,11.94
0RD00548341,2023-01-08,P0059,S017,C006339,1,5.03,0.1,4.53,2.75,1.78
0RD00776475,2024-07-07,P0135,S013,C010502,3,12.67,0.0,38.01,25.43,12.58
0RD00248640,2024-04-12,P0026,S052,C048662,4,4.94,0.15,16.8,8.64,8.16
0RD00615378,2024-05-09,P0168,S055,C017578,1,5.59,0.0,5.59,3.75,1.84
0RD00540018,2024-02-20,P0148,S036,C049538,4,4.39,0.0,17.56,10.74,6.82
0RD00759100,2024-09-18,P0008,S079,C029657,4,8.47,0.1,30.49,20.05,10.44
0RD00885069,2024-07-07,P0128,S064,C015266,4,9.46,0.0,37.84,20.18,17.66
0RD00737903,2024-10-04,P0117,S058,C029722,4,7.68,0.0,30.72,20.93,9.79
0RD00679454,2023-12-01,P0159,S035,C037837,1,9.09,0.2,7.27,4.1,3.17
0RD00818197,2024-11-09,P0168,S015,C010300,4,13.36,0.0,53.44,31.85,21.59
0RD00660888,2024-09-05,P0055,S017,C033643,4,7.21,0.1,25.96,14.33,11.63
0RD00847023,2023-10-10,P0096,S053,C021514,4,10.08,0.15,34.27,19.15,15.12
0RD00377209,2024-07-09,P0138,S098,C043789,2,4.65,0.15,7.91,5.0,2.91
0RD00168723,2023-11-17,P0074,S077,C044544,4,4.62,0.2,14.78,8.7,6.08
0RD00768595,2023-02-27,P0123,S039,C042606,1,12.48,0.0,12.48,8.3,4.18
0RD00692103,2024-12-13,P0191,S060,C014547,3,6.22,0.1,16.79,9.97,6.82
0RD00300088,2024-07-19,P0127,S041,C013736,2,10.18,0.0,20.36,11.09,9.27
0RD00731230,2023-09-18,P0004,S056,C049767,1,7.69,0.0,7.69,4.29,3.4
0RD00204059,2024-11-21,P0189,S092,C018124,4,11.46,0.0,45.84,26.08,19.76
0RD00063682,2024-11-18,P0114,S091,C012125,1,7.51,0.1,6.76,4.35,2.41
0RD00560263,2024-09-20,P0192,S050,C009110,5,11.53,0.1,51.88,28.26,23.63
0RD00539266,2023-05-24,P0094,S003,C020432,1,10.1,0.2,8.08,5.12,2.96
0RD00730009,2024-08-28,P0088,S006,C044176,3,5.71,0.0,17.13,11.08,6.05
0RD00064808,2023-06-12,P0000,S039,C046516,4,13.2,0.0,52.8,30.52,22.28
0RD00517418,2023-01-05,P0117,S034,C024676,5,11.91,0.0,59.55,35.77,23.78
0RD00425649,2024-10-20,P0118,S035,C011713,5,6.38,0.0,31.9,21.96,9.94
0RD00749248,2024-12-21,P0047,S018,C007273,2,10.78,0.0,21.56,13.13,8.43
0RD00709991,2024-06-05,P0091,S085,C025250,5,11.36,0.0,56.8,38.88,17.92
0RD00055972,2024-08-17,P0087,S098,C019702,2,10.87,0.15,18.48,10.56,7.92
0RD00954730,2023-07-06,P0152,S044,C014592,4,7.53,0.2,24.1,12.08,12.02
0RD00162760,2024-07-18,P0005,S058,C001707,2,13.31,0.15,22.63,15.32,7.31
0RD00681301,2024-12-22,P0114,S019,C026218,5,5.29,0.15,22.48,15.21,7.28
0RD00381902,2024-12-20,P0039,S067,C018548,5,8.74,0.0,43.7,29.18,14.52
0RD00214430,2024-04-18,P0004,S054,C020698,3,8.14,0.15,20.76,12.44,8.32
0RD00298869,2023-01-01,P0187,S009,C024073,4,3.72,0.1,13.39,7.12,6.27
0RD00413493,2023-08-27,P0188,S041,C035594,3,3.45,0.2,8.28,5.32,2.96
0RD00731694,2024-11-07,P0115,S016,C007856,1,5.43,0.2,4.34,2.59,1.76
0RD00917255,2024-06-03,P0155,S010,C001397,5,11.83,0.0,59.15,31.62,27.53
0RD00239607,2023-10-13,P0064,S052,C018715,1,5.94,0.0,5.94,3.04,2.9
0RD00526549,2023-04-03,P0169,S090,C007755,1,10.2,0.0,10.2,6.69,3.51
0RD00493016,2024-06-25,P0081,S053,C046115,3,14.57,0.1,39.34,21.75,17.59
0RD00257685,2024-04-09,P0120,S059,C003105,1,14.46,0.0,14.46,8.01,6.45
0RD00439349,2024-11-09,P0177,S019,C029739,3,4.21,0.15,10.74,6.26,4.48
0RD00901288,2024-05-09,P0053,S075,C049777,1,7.19,0.0,7.19,3.73,3.46
0RD00274020,2024-08-08,P0106,S094,C015945,4,3.06,0.15,10.4,5.78,4.62
0RD00858309,2023-01-10,P0016,S067,C040966,4,6.22,0.0,24.88,12.73,12.15
0RD00698888,2023-08-29,P0129,S002,C042872,2,11.28,0.0,22.56,13.72,8.84
0RD00685041,2024-02-22,P0094,S005,C030089,5,3.97,0.0,19.85,10.66,9.19
0RD00168715,2023-08-05,P0174,S094,C024960,4,11.37,0.0,45.48,25.69,19.79
0RD00779038,2023-08-06,P0137,S046,C040252,1,3.1,0.0,3.1,1.94,1.16
0RD00903524,2024-10-30,P0187,S049,C015582,4,12.17,0.0,48.68,33.01,15.67
0RD00734820,2023-12-18,P0171,S069,C033329,2,14.72,0.1,26.5,14.01,12.49
0RD00545332,2023-03-13,P0015,S089,C000556,1,4.27,0.0,4.27,2.81,1.46
0RD00992246,2024-01-04,P0175,S088,C008361,4,5.31,0.0,21.24,12.28,8.96
0RD00702837,2023-03-21,P0194,S009,C029933,2,11.12,0.2,17.79,10.56,7.23
0RD00446091,2023-01-13,P0145,S033,C006820,2,10.73,0.15,18.24,10.35,7.89
0RD00785052,2024-04-01,P0102,S035,C038712,1,6.61,0.0,6.61,4.36,2.25
0RD00851961,2024-07-15,P0091,S030,C006604,4,12.05,0.2,38.56,22.52,16.04
0RD00997207,2023-05-12,P0047,S004,C046188,3,12.43,0.0,37.29,21.0,16.29
0RD00881951,2024-06-11,P0078,S018,C017079,5,5.79,0.0,28.95,19.71,9.24
0RD00232668,2023-06-02,P0114,S097,C031127,2,8.42,0.2,13.47,7.52,5.95
0RD00589143,2023-07-30,P0187,S093,C002654,5,9.01,0.2,36.04,21.15,14.89
0RD00776594,2024-06-12,P0157,S081,C028093,3,7.23,0.1,19.52,9.88,9.64
0RD00468468,2023-02-04,P0010,S040,C049682,3,7.91,0.0,23.73,12.92,10.81
0RD00328252,2024-06-04,P0067,S025,C026345,5,7.68,0.0,38.4,19.39,19.01
0RD00877874,2023-11-24,P0157,S017,C044220,5,6.02,0.0,30.1,20.06,10.04
0RD00033986,2024-10-09,P0131,S021,C043308,3,3.05,0.15,7.78,4.75,3.03
0RD00578582,2024-10-10,P0109,S003,C000799,2,10.0,0.15,17.0,10.01,6.99
0RD00270439,2023-07-13,P0183,S098,C037866,1,5.26,0.1,4.73,2.71,2.02
0RD00636725,2023-05-03,P0088,S044,C037068,5,8.74,0.1,39.33,20.4,18.93
0RD00804450,2024-02-07,P0096,S004,C048839,1,13.5,0.0,13.5,8.65,4.85
0RD00601688,2024-04-17,P0125,S049,C021264,4,5.78,0.1,20.81,11.5,9.31
0RD00255584,2023-02-19,P0173,S016,C008610,4,13.12,0.0,52.48,27.47,25.01
0RD00463336,2023-07-20,P0057,S091,C046364,2,9.5,0.0,19.0,12.79,6.21
0RD00098335,2024-09-28,P0141,S060,C039914,1,13.61,0.0,13.61,7.02,6.59
0RD00098061,2024-04-24,P0134,S042,C038418,3,8.0,0.0,24.0,13.36,10.64
0RD00534374,2023-10-27,P0145,S017,C024276,2,12.74,0.1,22.93,13.56,9.37
0RD00284257,2023-11-29,P0117,S087,C049608,2,10.99,0.0,21.98,14.44,7.54
0RD00131151,2024-09-09,P0087,S072,C036435,5,13.0,0.2,52.0,26.54,25.46
0RD00775191,2023-03-12,P0051,S058,C020906,2,13.89,0.0,27.78,14.48,13.3
0RD00830458,2024-05-19,P0011,S005,C029876,2,12.46,0.1,22.43,14.26,8.16
0RD00546686,2024-03-12,P0025,S002,C049501,1,5.47,0.0,5.47,2.83,2.64
0RD00633762,2024-05-13,P0003,S036,C005867,1,13.94,0.0,13.94,7.52,6.42
0RD00971852,2023-07-08,P0055,S039,C024979,2,5.82,0.15,9.89,5.97,3.93
0RD00679693,2024-07-01,P0024,S087,C019635,3,6.78,0.1,18.31,11.04,7.27
0RD00842683,2024-07-28,P0071,S091,C030664,3,7.72,0.0,23.16,15.69,7.47
0RD00365510,2023-04-23,P0086,S039,C027740,3,4.95,0.0,14.85,9.9,4.95
0RD00103196,2023-12-06,P0184,S004,C019464,2,5.9,0.2,9.44,5.56,3.88
0RD00774367,2024-08-14,P0160,S025,C012615,4,13.07,0.0,52.28,32.38,19.9
0RD00825353,2023-05-19,P0150,S054,C019311,5,8.15,0.0,40.75,22.06,18.69
0RD00045074,2023-06-01,P0122,S028,C031395,4,11.2,0.1,40.32,23.48,16.84
0RD00828683,2024-02-19,P0014,S022,C035831,3,12.15,0.1,32.81,19.88,12.93
0RD00309614,2023-01-04,P0183,S098,C041233,4,5.65,0.0,22.6,15.71,6.89
0RD00221567,2023-01-14,P0001,S076,C020614,4,10.27,0.0,41.08,25.12,15.96
0RD00359173,2024-06-20,P0049,S083,C016879,4,13.64,0.15,46.38,27.27,19.11
0RD00633080,2023-05-09,P0052,S094,C001319,3,13.13,0.0,39.39,25.78,13.61
0RD00871833,2023-11-29,P0088,S069,C018379,1,5.66,0.15,4.81,2.77,2.04
0RD00476364,2023-04-16,P0152,S091,C014294,1,6.28,0.1,5.65,3.51,2.14
0RD00888498,2024-08-23,P0143,S036,C041789,4,14.24,0.0,56.96,28.82,28.14
0RD00441188,2024-02-08,P0071,S094,C037310,3,5.58,0.0,16.74,11.62,5.12
0RD00883268,2023-06-28,P0043,S043,C006942,5,7.58,0.0,37.9,26.36,11.54
0RD00469484,2024-09-06,P0125,S006,C024700,2,5.19,0.0,10.38,6.79,3.59
0RD00138683,2023-07-17,P0005,S010,C023390,3,5.98,0.0,17.94,10.83,7.11
0RD00110288,2023-11-27,P0027,S071,C013830,5,6.15,0.15,26.14,16.19,9.95
0RD00304506,2024-11-13,P0115,S088,C038629,5,5.94,0.0,29.7,17.19,12.51
0RD00708715,2023-12-30,P0154,S070,C014654,2,6.31,0.2,10.1,6.18,3.91
0RD00198878,2024-03-09,P0127,S083,C043569,5,3.95,0.0,19.75,11.55,8.2
0RD00447471,2023-08-27,P0139,S096,C012120,1,5.17,0.15,4.39,2.26,2.13
0RD00627790,2023-03-17,P0072,S042,C000199,1,5.71,0.2,4.57,2.81,1.76
0RD00918370,2024-01-17,P0063,S060,C016012,3,4.41,0.15,11.25,6.05,5.19
0RD00494191,2023-07-12,P0094,S068,C011159,3,9.66,0.1,26.08,17.32,8.76
0RD00637206,2023-09-19,P0134,S060,C010341,5,14.07,0.0,70.35,45.75,24.6
0RD00686697,2023-07-17,P0102,S021,C044651,1,10.64,0.0,10.64,5.73,4.91
0RD00328955,2024-08-20,P0059,S046,C049174,1,4.63,0.1,4.17,2.79,1.38
0RD00467831,2024-09-07,P0194,S015,C001422,2,14.56,0.0,29.12,15.59,13.53
0RD00051176,2024-04-22,P0099,S044,C041907,5,5.13,0.0,25.65,14.67,10.98
0RD00694403,2023-04-17,P0052,S078,C018108,5,4.05,0.0,20.25,11.03,9.22
0RD00449997,2023-12-03,P0073,S091,C030573,3,7.81,0.15,19.92,13.72,6.2
0RD00523496,2023-04-13,P0178,S084,C038571,1,13.19,0.0,13.19,7.7,5.49
0RD00924389,2023-06-05,P0072,S070,C044341,2,9.16,0.0,18.32,9.83,8.49
0RD00705704,2024-05-17,P0174,S069,C048588,1,4.1,0.0,4.1,2.85,1.25
0RD00570737,2023-05-05,P0050,S011,C004778,1,5.17,0.0,5.17,3.44,1.73
0RD00818356,2024-01-20,P0119,S022,C046893,1,13.2,0.15,11.22,7.59,3.63
0RD00940180,2024-03-09,P0107,S075,C026419,5,4.48,0.0,22.4,12.73,9.67
0RD00371709,2023-12-17,P0085,S044,C027834,5,4.87,0.2,19.48,13.56,5.92
0RD00637169,2024-08-07,P0164,S077,C019502,5,8.38,0.0,41.9,27.13,14.77
0RD00077765,2023-07-30,P0157,S036,C001137,4,13.13,0.0,52.52,33.44,19.08
0RD00544994,2023-08-26,P0047,S046,C001432,1,3.01,0.0,3.01,1.85,1.16
0RD00246768,2024-07-24,P0184,S032,C007065,4,10.43,0.0,41.72,24.24,17.48
0RD00695191,2023-02-22,P0071,S086,C018707,4,7.67,0.0,30.68,15.82,14.86
0RD00129253,2023-08-23,P0165,S038,C034874,5,8.06,0.0,40.3,24.82,15.48
0RD00403955,2024-08-08,P0068,S045,C021052,5,14.59,0.0,72.95,39.29,33.66
0RD00474183,2024-05-14,P0189,S045,C020755,4,13.96,0.0,55.84,33.25,22.59
0RD00663860,2023-10-04,P0180,S091,C034169,4,6.87,0.0,27.48,15.42,12.06
0RD00928489,2023-02-23,P0031,S078,C031006,5,8.57,0.0,42.85,28.3,14.55
0RD00321227,2024-04-01,P0187,S009,C005985,4,8.87,0.15,30.16,16.98,13.18
0RD00064929,2024-11-14,P0118,S058,C030440,2,7.12,0.0,14.24,7.15,7.09
0RD00814554,2023-09-29,P0116,S006,C013710,3,9.44,0.0,28.32,17.67,10.65
0RD00922033,2023-02-06,P0143,S013,C041378,2,12.15,0.0,24.3,16.79,7.51
0RD00884062,2023-12-17,P0136,S099,C028732,3,11.49,0.0,34.47,22.6,11.87
0RD00328424,2024-07-16,P0186,S076,C000821,4,14.87,0.15,50.56,29.3,21.26
0RD00326598,2023-07-11,P0191,S055,C002953,4,14.81,0.0,59.24,39.3,19.94
0RD00844607,2023-03-24,P0138,S068,C036517,1,5.94,0.2,4.75,3.14,1.61
0RD00308969,2024-02-04,P0173,S005,C010576,1,3.85,0.0,3.85,2.02,1.83
0RD00276237,2023-07-12,P0138,S037,C027762,1,8.15,0.0,8.15,5.67,2.48
0RD00830300,2023-11-18,P0156,S027,C048012,2,6.93,0.0,13.86,9.53,4.33
0RD00082908,2024-02-17,P0166,S063,C012170,4,6.28,0.1,22.61,13.23,9.38
0RD00406827,2023-09-13,P0128,S017,C014517,1,7.8,0.0,7.8,4.39,3.41
0RD00709188,2023-10-30,P0132,S008,C034520,1,13.56,0.0,13.56,7.92,5.64
0RD00989500,2023-09-08,P0152,S057,C003287,4,11.66,0.15,39.64,20.84,18.81
0RD00571287,2024-06-01,P0173,S053,C013989,2,8.63,0.1,15.53,7.92,7.62
0RD00943943,2023-07-13,P0035,S043,C001842,2,12.26,0.0,24.52,13.03,11.49
0RD00205528,2023-05-21,P0024,S045,C028193,2,3.97,0.0,7.94,5.37,2.57
0RD00223267,2023-12-06,P0082,S071,C024287,4,9.95,0.0,39.8,26.65,13.15
0RD00581647,2023-10-22,P0068,S072,C022763,4,12.3,0.2,39.36,26.84,12.52
0RD00400214,2023-03-19,P0069,S063,C020459,3,5.06,0.0,15.18,8.18,7.0
0RD00386784,2024-08-29,P0005,S032,C040933,3,5.37,0.0,16.11,8.32,7.79
0RD00630644,2024-04-09,P0143,S081,C034909,2,4.21,0.0,8.42,5.15,3.27
0RD00626667,2024-08-08,P0068,S056,C029532,4,6.0,0.1,21.6,11.55,10.05
0RD00597145,2024-06-29,P0046,S056,C036957,4,7.21,0.0,28.84,18.98,9.86
0RD00318687,2023-03-27,P0135,S012,C001470,3,3.82,0.0,11.46,7.61,3.85
0RD00641570,2023-02-09,P0174,S028,C031640,3,13.86,0.2,33.26,19.42,13.84
0RD00711687,2024-12-18,P0036,S090,C013431,5,5.52,0.0,27.6,16.84,10.76
0RD00063719,2024-05-21,P0078,S037,C003764,5,9.87,0.0,49.35,29.58,19.77
0RD00554455,2024-06-10,P0171,S046,C008077,1,12.27,0.2,9.82,5.4,4.41
0RD00635753,2024-06-29,P0021,S078,C035977,2,11.38,0.0,22.76,13.45,9.31
0RD00607635,2023-05-11,P0092,S039,C039863,5,8.56,0.0,42.8,23.16,19.64
0RD00677583,2024-01-06,P0099,S011,C012343,2,7.95,0.2,12.72,8.8,3.92
0RD00529361,2023-12-27,P0092,S059,C000375,1,13.67,0.0,13.67,7.45,6.22
0RD00692231,2024-10-10,P0196,S079,C027193,4,11.8,0.0,47.2,27.35,19.85
