user_id,date,age,gender,height_cm,weight_kg,steps,calories_burned,sleep_hours,heart_rate_avg,workout_type,workout_duration_minutes,water_intake_liters,stress_level,mood
1387,2015-03-07,51,Female,168.9,72.5,19437,900,6,57,Cycling,28,3.34,4,Tired
1600,2015-03-08,37,Male,179.5,45.1,16817,861.9,7.6,68,Running,68,3.15,4,Happy
1315,2015-03-09,56,Female,178.3,82.9,3420,434.3,3.8,81,Walking,45,3.05,2,Tired
1013,2015-03-10,19,Male,167,90.2,19912,900,9.3,70,Cycling,68,4.11,3,Neutral
1241,2015-03-11,18,Male,155.4,106.9,5317,318.4,9.3,78,None,0,3.25,8,Happy
1776,2015-03-12,53,Male,183.3,91.8,9412,695.6,8.3,86,Gym,64,1.91,8,Neutral
1345,2015-03-13,41,Female,175.8,62.6,17321,900,8.9,91,Gym,40,2.67,1,Neutral
1564,2015-03-14,44,Male,166.8,72.8,1227,281.8,6.9,78,Cycling,48,2.31,2,Tired
1897,2015-03-15,19,Male,175.4,65.9,19721,900,5.9,90,None,0,3.95,4,Happy
1339,2015-03-16,48,Male,170.7,63.9,12456,711.1,5.1,76,Walking,61,3.38,6,Happy
1091,2015-03-17,31,Male,183.2,68.3,1955,279.2,8.5,72,Running,60,3.92,3,Tired
1366,2015-03-18,19,Male,150.7,89.3,18881,900,5.9,60,Yoga,67,1.97,7,Happy
1955,2015-03-19,46,Female,166,46.2,10472,652.3,6.4,65,Gym,62,3.27,3,Neutral
1454,2015-03-20,32,Female,186,55,2978,233.8,7.3,75,Walking,27,1.54,8,Happy
1427,2015-03-21,29,Female,175.6,88.3,18913,900,6.9,75,Walking,82,1.39,6,Neutral
1508,2015-03-22,54,Female,187.7,91.8,13675,807.6,7.4,77,Walking,82,2.22,8,Happy
1775,2015-03-23,45,Female,157.8,60.1,17128,848.8,4.3,93,Running,25,3.56,7,Happy
1942,2015-03-24,37,Female,180.7,94.8,16668,842.1,6.6,83,Walking,71,1.81,5,Tired
1034,2015-03-25,56,Female,180.1,84.6,8445,542.3,8.2,83,Walking,40,2.49,5,Tired
1205,2015-03-26,41,Male,153.2,66,5284,392.8,6.4,93,Cycling,33,3.33,3,Happy
1080,2015-03-27,38,Female,167,45,18585,900,5.7,71,Cycling,77,3.09,4,Neutral
1931,2015-03-28,27,Male,168.9,45,8131,534,8.4,70,Walking,44,4.05,8,Tired
1561,2015-03-29,31,Male,153.8,60.1,11614,589.2,6.4,87,Walking,75,2.5,5,Tired
1871,2015-03-30,54,Female,167.3,81.4,1759,233.6,7.3,80,Cycling,28,2.19,9,Tired
1387,2015-03-31,35,Male,178.7,81.4,14684,745.2,6.7,75,Running,55,1.73,3,Happy
1001,2015-04-01,41,Male,166.1,63,10680,604,7,74,Cycling,76,2.24,10,Neutral
1389,2015-04-02,31,Male,172.4,66.5,5371,420.4,9.3,73,Cycling,24,1.73,3,Neutral
1565,2015-04-03,51,Male,172.5,69.5,13651,761.4,7.9,74,Cycling,26,1.24,8,Happy
1105,2015-04-04,29,Female,169.9,66.7,2665,188.2,5.2,75,Cycling,25,3.87,8,Neutral
1771,2015-04-05,39,Female,162.9,72.5,7918,568,6.4,72,Yoga,71,2.53,7,Tired
1821,2015-04-06,23,Female,176.6,69.5,11194,643.2,6.4,81,Gym,89,4.31,6,Neutral
1476,2015-04-07,53,Female,154.1,45,12213,632.5,7.3,82,Running,74,1.91,7,Tired
1702,2015-04-08,53,Female,170.1,66.9,16745,900,8.4,69,None,0,2.2,7,Tired
1401,2015-04-09,39,Female,183.9,69.7,8636,440.2,7,84,Running,20,1.96,6,Happy
1729,2015-04-10,31,Female,165.5,84.8,18749,871.2,7,62,Walking,56,2.05,9,Tired
1555,2015-04-11,33,Female,162.7,57.5,8344,640.2,3.7,80,Yoga,68,3.11,5,Neutral
1161,2015-04-12,53,Female,177.3,73.1,4201,375.4,9,81,Walking,31,2.9,5,Neutral
1201,2015-04-13,42,Female,171.6,78.4,5752,393.2,6.7,74,Running,24,3.11,6,Neutral
1957,2015-04-14,49,Male,177.5,67.8,10575,628.4,7.4,76,Running,89,3.44,10,Neutral
1995,2015-04-15,50,Female,170.4,45,11327,644,7.4,73,None,0,3.28,4,Neutral
1269,2015-04-16,53,Male,150,85.2,16891,877.4,5.8,70,None,0,1.79,10,Tired
1862,2015-04-17,37,Male,181.8,81.2,14029,785.6,6.6,75,Walking,74,2.13,10,Happy
1815,2015-04-18,35,Male,190.7,73.4,7091,473.7,5.8,70,Gym,69,2.59,9,Happy
1270,2015-04-19,55,Male,182.8,70.6,18905,900,9.1,86,Walking,72,5,2,Neutral
1455,2015-04-20,20,Female,150,45,16866,866.7,3.7,54,Gym,74,3.04,3,Tired
1461,2015-04-21,40,Male,174.5,81.6,8521,499.8,5.6,74,Gym,22,2.57,9,Happy
1726,2015-04-22,49,Female,165.3,92.3,16410,801.1,6.5,56,Cycling,35,2.97,1,Neutral
1251,2015-04-23,33,Female,159.2,53.3,19007,900,9.2,64,Running,64,2.08,5,Tired
1701,2015-04-24,22,Male,171.2,90.2,6820,505.2,8.1,69,Cycling,55,2.68,3,Happy
1295,2015-04-25,21,Female,168.5,87,12453,750,4.5,88,Running,38,3.17,3,Tired
1724,2015-04-26,38,Male,175.1,52.9,5696,428,6.8,87,Cycling,23,2.48,1,Neutral
1719,2015-04-27,57,Male,170.6,64.1,2867,326,8.1,76,Gym,78,1.97,8,Tired
1748,2015-04-28,31,Female,158.8,49.1,16723,860,10,76,Cycling,31,2.45,3,Happy
1337,2015-04-29,56,Female,164.2,69,12817,770.6,6.5,85,Yoga,82,2.28,4,Happy
1878,2015-04-30,48,Male,162.6,76.7,1168,229.5,5.2,86,Cycling,75,1.55,5,Tired
1052,2015-05-01,31,Female,152.8,50.2,11213,599.3,7.5,69,None,0,2.1,5,Happy
1791,2015-05-02,23,Female,156.3,75.8,16223,875,6.9,82,None,0,1.53,2,Tired
1921,2015-05-03,29,Female,167.9,79.6,12452,690.5,7.7,65,Cycling,43,1.63,7,Tired
1216,2015-05-04,33,Male,184.2,79.8,9027,573.6,8,71,Cycling,45,1.7,6,Neutral
1763,2015-05-05,34,Male,164.6,76.8,17291,900,7.5,81,Yoga,41,3.17,7,Neutral
1187,2015-05-06,40,Female,162.4,51.6,11641,636.7,7.8,68,Running,89,3.54,10,Tired
1379,2015-05-07,31,Female,158.2,68.2,1224,238,9.5,71,Cycling,38,1.42,10,Happy
1492,2015-05-08,24,Female,170.3,75.3,9749,574.4,6.6,58,Running,53,3.61,3,Neutral
1040,2015-05-09,49,Female,181.8,91.9,7582,567.6,5.2,80,None,0,1.71,8,Happy
1156,2015-05-10,32,Female,190,70,2573,303.6,7.5,66,Walking,64,3.02,6,Tired
1014,2015-05-11,34,Male,172.9,76.4,9577,590.9,5.1,67,Gym,56,2.68,7,Happy
1812,2015-05-12,58,Female,171.4,56,9712,530.7,5.3,89,Walking,42,2.95,9,Happy
1064,2015-05-13,51,Male,164.6,52.7,7763,547.1,5.8,68,Yoga,59,1.68,8,Tired
1856,2015-05-14,22,Female,166.2,50.8,13164,748,5.1,83,Yoga,62,1.23,8,Neutral
1838,2015-05-15,44,Male,176.3,63.7,6217,406.9,8.8,86,Running,23,1.94,3,Neutral
1520,2015-05-16,40,Female,166.9,100.9,17272,900,7.1,84,Running,34,2.8,1,Happy
1343,2015-05-17,57,Male,168.4,64,13734,766.2,8.1,73,Cycling,42,3.87,1,Tired
1128,2015-05-18,31,Female,169.7,75.5,12353,662.9,7.8,71,Walking,31,1.78,10,Tired
1647,2015-05-19,32,Male,164.1,78.4,4501,379.9,6.7,66,Running,87,2.43,2,Neutral
1471,2015-05-20,50,Male,169.3,53.6,14530,762.8,8.4,57,None,0,1.98,8,Tired
1062,2015-05-21,48,Male,150,63.5,13394,813,6.3,83,Running,71,2.49,10,Tired
1138,2015-05-22,52,Male,175.5,79.4,2499,346.6,6.7,82,None,0,1.15,6,Happy
1498,2015-05-23,34,Male,193.5,76.4,10669,649.5,5.9,80,Running,78,3.55,6,Happy
1592,2015-05-24,45,Male,164.5,45,11519,746.6,9.1,50,Gym,77,2.52,1,Neutral
1391,2015-05-25,36,Female,173.7,78.9,14239,717.6,6.8,73,Running,78,3.14,2,Neutral
1674,2015-05-26,40,Male,178.5,61.7,19128,900,7.9,81,Gym,42,2.34,5,Happy
1418,2015-05-27,49,Female,182.8,62.1,3039,348.9,6.1,88,Yoga,20,2.63,3,Tired
1288,2015-05-28,57,Female,167.4,76.1,9311,560.9,8.3,78,Cycling,75,3.29,2,Tired
1378,2015-05-29,30,Female,152,92.8,4857,383,8.2,77,Walking,23,2.59,9,Happy
1772,2015-05-30,37,Female,172.7,67,5950,484.2,4.6,68,Running,48,2.62,10,Happy
1489,2015-05-31,52,Female,171.3,87.7,16441,900,7,79,Gym,36,1.94,7,Happy
1230,2015-06-01,22,Male,166.5,48.4,13735,678.3,7.2,73,Running,68,2.13,1,Happy
1040,2015-06-02,26,Male,168.7,72,2743,400.5,6.6,68,Running,70,1.79,1,Tired
1027,2015-06-03,46,Male,171.4,61.9,14283,828.5,9.1,63,Gym,68,1.98,3,Tired
1134,2015-06-04,23,Female,173.6,74.2,10638,611.4,5.2,66,Running,43,3.38,10,Neutral
1200,2015-06-05,42,Male,173.2,65.6,4616,345.1,6.3,78,Walking,63,3.77,6,Happy
1839,2015-06-06,48,Male,167.8,49.9,16383,900,5.7,61,None,0,1.63,2,Neutral
1779,2015-06-07,39,Male,173.8,56.7,4894,420.6,8.5,72,None,0,2.78,8,Tired
1929,2015-06-08,19,Male,167.1,45.4,19108,900,5.5,88,None,0,2.28,4,Neutral
1032,2015-06-09,22,Male,176.4,50.4,7227,517.6,4.3,61,None,0,3.48,8,Tired
1047,2015-06-10,44,Female,163.7,77.2,11464,719.3,7.6,79,Yoga,50,2.59,7,Tired
1502,2015-06-11,42,Male,170.7,66.2,8847,596.7,6.8,80,Cycling,35,2.49,2,Neutral
1406,2015-06-12,25,Female,153.8,73.5,5281,384.5,8.6,72,Running,51,1.98,9,Neutral
1573,2015-06-13,18,Female,166.3,97.2,19584,900,8.2,81,Gym,61,1.43,5,Happy
1727,2015-06-14,37,Female,175.7,65.6,3143,343.5,6.9,73,Walking,53,3.03,6,Tired
1804,2015-06-15,40,Female,159.7,79.5,15780,900,4.8,83,Running,56,2.75,2,Happy
1098,2015-06-16,49,Female,166.8,70.4,4181,359.8,5.2,64,Yoga,35,2.76,3,Happy
1683,2015-06-17,28,Male,150,111.4,7520,519,4.3,94,Yoga,32,2.08,10,Tired
1871,2015-06-18,56,Male,156.3,45,14052,806.8,6.8,89,Gym,85,2.4,8,Neutral
1725,2015-06-19,41,Male,158.9,59.2,13271,709.9,6,53,Running,52,3.05,5,Happy
1986,2015-06-20,28,Female,171,79.8,18480,900,6.7,87,None,0,3.19,10,Happy
1546,2015-06-21,46,Male,173.3,58.7,13499,740.7,7.3,69,Running,56,1.68,1,Tired
1960,2015-06-22,43,Male,169.4,78.5,9915,659.1,9.8,89,Running,59,2.06,9,Neutral
1738,2015-06-23,33,Female,166.2,69.1,17122,837.7,7.9,85,Yoga,27,1.53,1,Neutral
1612,2015-06-24,52,Female,166.2,83,12431,812.9,7.1,64,Running,73,2.64,9,Happy
1942,2015-06-25,37,Female,177.2,53,7918,501.1,4.7,81,None,0,3.12,10,Tired
1461,2015-06-26,20,Female,172.1,72.6,9148,592,7,68,Running,21,2.3,6,Happy
1642,2015-06-27,18,Male,166.7,77,14038,761.8,8.3,80,Running,75,2.04,7,Neutral
1768,2015-06-28,18,Female,182.9,72,14805,738.3,7.6,75,Running,76,2.27,1,Happy
1004,2015-06-29,34,Female,189.5,72.2,8749,591.6,5.4,68,None,0,4.11,10,Tired
1217,2015-06-30,19,Male,157.5,88,3871,341.6,6.4,62,None,0,3.33,1,Happy
1502,2015-07-01,46,Male,175.2,45,5489,445.8,7.1,77,Gym,27,3.01,5,Neutral
1766,2015-07-02,37,Female,200,71.9,5607,384,6.4,80,Yoga,82,2.72,2,Tired
1397,2015-07-03,23,Male,172.8,51.9,13973,745.9,6.1,73,Cycling,65,2.49,10,Tired
1870,2015-07-04,25,Female,171.2,81.4,13111,709.7,3.8,67,Gym,86,1.87,5,Tired
1794,2015-07-05,46,Female,169.4,57.4,6834,500.9,5.8,70,None,0,1.76,5,Tired
1392,2015-07-06,50,Male,174.9,45,10912,651.9,7.4,64,Running,86,2.1,6,Tired
1206,2015-07-07,20,Male,177.5,81.7,4399,367.1,8.3,82,Cycling,61,1.83,9,Happy
1014,2015-07-08,52,Female,157.6,66,19241,900,7.1,53,Walking,83,2.07,6,Tired
1857,2015-07-09,22,Female,169.7,75.3,8604,559.9,8.6,85,Cycling,72,2.43,10,Neutral
1553,2015-07-10,44,Female,150,91.4,11957,688.2,6.9,74,Gym,26,2.48,1,Tired
1891,2015-07-11,29,Male,167.9,75.6,8731,555.7,5.7,80,Yoga,26,2.07,5,Neutral
1460,2015-07-12,37,Female,161,72.5,19780,900,6.3,81,Gym,55,2.85,2,Neutral
1690,2015-07-13,37,Female,173.4,69.3,16808,899.9,7.7,76,Yoga,32,2.37,8,Neutral
1574,2015-07-14,26,Female,153.4,52.8,3261,426.6,6.6,71,Yoga,86,2.65,7,Neutral
1863,2015-07-15,56,Female,164.9,66.8,12809,708.9,6,86,None,0,1.98,6,Neutral
1742,2015-07-16,21,Female,179.7,99.6,18696,900,4.7,58,Yoga,72,2.99,2,Happy
1240,2015-07-17,36,Male,163.2,64.4,11056,617,5.7,88,Walking,71,2.13,3,Neutral
1563,2015-07-18,55,Female,151,67.7,19689,900,6.4,64,Cycling,80,3.63,9,Neutral
1095,2015-07-19,44,Female,172.6,88.9,1997,263.6,6.1,72,Gym,80,2.34,9,Neutral
1899,2015-07-20,30,Female,164.1,46.9,16155,822.8,5.5,89,Gym,75,2.43,7,Happy
1733,2015-07-21,30,Female,168.1,79.3,7353,399.1,9.3,97,Yoga,59,2.92,2,Tired
1484,2015-07-22,39,Male,162.7,46.2,19703,900,7.9,77,None,0,3.07,7,Neutral
1406,2015-07-23,45,Male,189.7,76,4207,349.1,10,61,Walking,76,3.14,1,Happy
1230,2015-07-24,39,Male,154.4,69.7,10275,684.7,4.6,84,Walking,23,3.74,9,Happy
1748,2015-07-25,36,Female,198.3,79.2,16874,870.1,7.5,75,Running,45,2.96,9,Happy
1654,2015-07-26,25,Female,166.1,54.8,4086,395.7,6.3,64,Walking,81,2.45,6,Tired
1170,2015-07-27,25,Male,171.8,62,16973,882.6,7,77,Yoga,73,2.13,10,Happy
1540,2015-07-28,59,Male,164.3,80,18105,900,9.8,62,Yoga,81,2.41,1,Neutral
1035,2015-07-29,43,Male,163.8,62.4,15870,784.3,4.4,77,Cycling,37,3.54,8,Neutral
1524,2015-07-30,43,Female,162.2,81.3,2154,345.3,6.1,66,Yoga,29,1.53,6,Neutral
1159,2015-07-31,40,Female,176,73.1,17029,862.8,5.9,55,Cycling,55,1.93,9,Tired
1838,2015-08-01,30,Male,155.9,63.3,8167,573,6.1,58,Walking,21,2.35,9,Happy
1698,2015-08-02,45,Male,173.6,65.3,1016,167.6,3.8,69,Running,79,1.92,7,Neutral
1242,2015-08-03,26,Male,150,70.1,8097,486.2,8.9,80,None,0,2.21,4,Neutral
1085,2015-08-04,37,Female,172.7,66.7,14165,785.2,9,88,Gym,51,3.76,1,Neutral
1795,2015-08-05,36,Female,178.5,81,19616,900,7.9,89,Yoga,88,2.29,3,Tired
1577,2015-08-06,56,Female,157.3,64.4,12654,729,5,60,Walking,70,2.79,6,Neutral
1681,2015-08-07,29,Male,176.8,61.4,18830,900,7.4,73,Yoga,86,1.34,1,Happy
1556,2015-08-08,32,Male,170.5,83.7,17205,900,8.3,69,Cycling,86,1.73,4,Happy
1573,2015-08-09,48,Female,186,63.7,10657,653.3,7.6,74,Walking,87,3.15,8,Tired
1952,2015-08-10,31,Male,161.4,61.9,12959,696.7,6.9,89,Gym,75,3.67,8,Tired
1645,2015-08-11,28,Female,198.2,45,12819,693.1,9.1,77,Cycling,33,2.65,6,Tired
1795,2015-08-12,43,Male,150,54.4,4083,423.5,5.9,84,Walking,35,2.29,6,Happy
1027,2015-08-13,59,Male,166.7,57.4,10735,553,6.7,97,None,0,2.85,3,Tired
1619,2015-08-14,44,Male,153,61.9,7952,546,7.9,59,None,0,0.68,7,Tired
1555,2015-08-15,28,Male,188.5,59.2,15637,769.7,7.5,70,Gym,32,2.66,8,Happy
1339,2015-08-16,55,Female,167.4,84.7,10463,674,7.8,81,None,0,1.77,2,Neutral
1797,2015-08-17,51,Male,168.3,58.4,6391,434,7.8,78,Cycling,45,3.06,5,Tired
1957,2015-08-18,36,Female,174.4,59.5,15468,845,7.8,85,Gym,32,0.97,6,Neutral
1330,2015-08-19,23,Female,170,72.3,16091,845.5,6.5,71,Walking,87,2.06,1,Neutral
1639,2015-08-20,55,Female,164.1,53.5,15964,769.2,6,77,Cycling,52,2.47,5,Neutral
1505,2015-08-21,59,Male,157.4,93.5,9964,630.6,7.2,67,None,0,1.97,3,Neutral
1347,2015-08-22,45,Female,171.7,82,8914,520.5,9.3,86,Running,36,2.24,3,Tired
1472,2015-08-23,18,Female,173.8,52.5,15476,859.1,7,75,Yoga,25,3.13,6,Tired
1230,2015-08-24,52,Female,177,85.2,17866,864.5,7.9,89,None,0,2.48,1,Tired
1189,2015-08-25,57,Male,189.1,88.3,8437,549.6,7.2,89,Running,52,1.85,5,Happy
1224,2015-08-26,25,Male,150,52.9,12371,696.8,10,62,Gym,73,3.16,5,Happy
1384,2015-08-27,24,Female,169.3,52.5,10773,600.8,6.8,91,Walking,35,2.68,5,Neutral
1376,2015-08-28,28,Male,181.9,60.8,6203,517.1,7.9,84,Yoga,65,2.7,3,Happy
1282,2015-08-29,56,Female,168.8,48.8,16430,858.9,5.9,73,Walking,43,1.88,6,Neutral
1957,2015-08-30,21,Female,150,58.3,13462,717.4,5.3,83,Gym,24,0.72,1,Neutral
1632,2015-08-31,42,Male,157.1,64,10033,616.3,7,70,Walking,86,1.87,10,Tired
1627,2015-09-01,29,Female,173.3,77.6,19256,897.5,8.8,89,Cycling,69,1.79,1,Tired
1972,2015-09-02,43,Male,172.9,71.2,16754,900,8,76,Cycling,60,2.07,2,Happy
1744,2015-09-03,55,Male,176.7,67.8,4320,318.5,3.9,84,None,0,1.91,4,Tired
1258,2015-09-04,29,Female,162.2,62.8,15979,866.7,8.1,69,None,0,2.58,10,Happy
1358,2015-09-05,54,Male,172.6,50.4,3728,352.2,4.7,78,None,0,3.12,9,Tired
1709,2015-09-06,41,Male,160.5,78.9,18338,900,8.3,84,None,0,3.25,10,Tired
1455,2015-09-07,33,Female,172.6,78.5,2595,312.7,7.8,78,Gym,69,3.09,8,Happy
1410,2015-09-08,30,Female,170.5,60.7,3288,299.6,6.8,81,Walking,52,1.87,10,Neutral
1648,2015-09-09,42,Male,161.8,53.5,7845,420.9,8.1,67,None,0,2.54,2,Happy
1317,2015-09-10,21,Male,185.6,93.3,8663,457.5,6.6,78,Gym,29,3.6,1,Tired
1676,2015-09-11,28,Female,152.9,73.7,18127,900,7.2,67,Yoga,60,1.39,4,Neutral
1224,2015-09-12,49,Male,168.6,76,18878,900,4.8,75,None,0,3.44,5,Tired
1818,2015-09-13,24,Male,161.6,76.6,7944,434.2,6.6,70,Walking,25,1.8,2,Tired
1233,2015-09-14,28,Male,188.3,52,13302,824.5,8.4,73,Cycling,52,2.71,10,Tired
1683,2015-09-15,45,Male,176,92.5,11180,701.5,5,57,Running,35,2.79,6,Neutral
1663,2015-09-16,58,Male,163.5,63.9,1207,180.8,8.2,75,Cycling,43,2.63,8,Tired
1974,2015-09-17,40,Male,167.2,82.3,2083,229.1,4,74,Walking,79,4.06,5,Happy
1826,2015-09-18,40,Male,188.6,91.9,19796,900,5.2,60,Walking,30,2.29,4,Happy
1373,2015-09-19,45,Female,160.5,71.2,4311,387.4,6.5,78,Walking,63,1.35,7,Happy
1671,2015-09-20,43,Female,152.4,52.3,9588,580.7,7.2,83,Walking,22,2.75,5,Neutral
1607,2015-09-21,42,Female,172.9,45,17592,899,6.1,78,None,0,2.38,8,Happy
1471,2015-09-22,46,Female,173.1,69.4,14444,752.5,6.1,83,Yoga,59,2.89,7,Tired
1232,2015-09-23,36,Female,176.7,73.8,6850,482.9,8.7,70,Running,38,3.12,5,Neutral
1691,2015-09-24,50,Male,176.7,61.3,19820,900,8.8,73,None,0,2.48,8,Tired
1112,2015-09-25,53,Male,187.7,72,13719,742.4,6.4,76,Cycling,72,2.81,1,Tired
1829,2015-09-26,31,Male,152.8,76.5,17517,867.5,6.4,76,Yoga,55,2.6,8,Tired
1496,2015-09-27,31,Male,158,84.9,18022,900,6.6,52,Gym,86,3.75,3,Happy
1441,2015-09-28,52,Female,176.6,66.6,2228,278.1,10,66,Walking,39,2.24,1,Happy
1563,2015-09-29,47,Male,158.9,69.3,5019,428.4,7,85,Cycling,47,2.02,9,Neutral
