job_title,country,experience_level,education_level,year,salary,ai_risk_score,primary_skill,skill_demand_score,job_openings,job_survival_class,salary_bucket,ai_risk_category
AI Researcher,Germany,Senior,Master,2028,74261.07,0.18,Deep Learning,64,30899,2,High,Low Risk
Data Analyst,India,Mid,Master,2033,8347.71,0.73,SQL,85,36247,0,Low,High Risk
Data Analyst,Canada,Mid,Master,2015,16557.57,0.55,SQL,95,38220,1,Medium,Medium Risk
Cloud Engineer,Germany,Mid,Master,2032,40682.08,0.42,AWS,69,15069,1,High,Medium Risk
DevOps Engineer,Canada,Entry,Master,2022,23747.86,0.27,Docker,93,41158,2,High,Low Risk
Cybersecurity Analyst,UK,Mid,Bachelor,2027,29230.28,0.27,Security,78,36257,2,High,Low Risk
Cloud Engineer,Australia,Senior,Master,2020,51243.16,0.3,AWS,64,17364,2,High,Medium Risk
Business Analyst,India,Senior,PhD,2015,9792.16,0.65,Excel,83,39646,1,Low,High Risk
AI Researcher,Canada,Senior,PhD,2015,55204.71,0.05,Deep Learning,87,26471,2,High,Low Risk
Data Scientist,Australia,Mid,Bachelor,2029,39385.94,0.39,Python,79,19071,1,High,Medium Risk
ML Engineer,USA,Mid,Master,2025,56534.68,0.25,Python,94,36195,2,High,Low Risk
Software Engineer,UK,Mid,Master,2027,31725.59,0.47,Java,96,39155,2,High,Medium Risk
Cybersecurity Analyst,UK,Mid,Bachelor,2030,33723.88,0.3,Security,92,47247,2,High,Medium Risk
Data Analyst,Australia,Senior,Bachelor,2026,34939.11,0.66,SQL,88,44404,1,High,High Risk
Software Engineer,Australia,Entry,PhD,2016,16520.2,0.36,Java,61,32996,1,Medium,Medium Risk
Data Analyst,India,Entry,Bachelor,2034,6059.15,0.74,SQL,94,28350,0,Low,High Risk
ML Engineer,India,Entry,Master,2018,8370.76,0.18,Python,67,24132,1,Low,Low Risk
Product Manager,India,Mid,PhD,2023,15243.58,0.38,Strategy,85,12261,1,Medium,Medium Risk
Cloud Engineer,India,Senior,PhD,2018,19116.14,0.28,AWS,66,4267,1,Medium,Low Risk
ML Engineer,Germany,Entry,PhD,2015,21810.14,0.15,Python,70,1412,1,High,Low Risk
Cybersecurity Analyst,Canada,Senior,Master,2027,40928.94,0.27,Security,84,24548,2,High,Low Risk
Software Engineer,USA,Senior,PhD,2035,72304.36,0.55,Java,69,39756,2,High,Medium Risk
Software Engineer,USA,Senior,Master,2034,77900.75,0.54,Java,94,49816,2,High,Medium Risk
Data Scientist,Canada,Entry,Master,2032,28755.23,0.42,Python,95,38841,2,High,Medium Risk
AI Researcher,Australia,Mid,Bachelor,2031,49350.77,0.21,Deep Learning,91,24190,2,High,Low Risk
Cloud Engineer,USA,Mid,Master,2018,45580.35,0.28,AWS,96,45811,2,High,Low Risk
AI Researcher,Germany,Senior,Master,2019,53824.61,0.09,Deep Learning,72,44286,2,High,Low Risk
AI Researcher,India,Senior,PhD,2035,32788.35,0.25,Deep Learning,89,47352,2,High,Low Risk
Cybersecurity Analyst,Canada,Senior,Master,2029,47396.18,0.29,Security,79,47959,2,High,Low Risk
AI Researcher,Australia,Senior,Master,2025,66933.98,0.15,Deep Learning,72,1698,2,High,Low Risk
Software Engineer,USA,Mid,Master,2022,35065.68,0.42,Java,95,17779,1,High,Medium Risk
Business Analyst,Canada,Senior,PhD,2027,40532.95,0.77,Excel,78,37939,1,High,High Risk
Cloud Engineer,USA,Mid,Master,2020,42990.19,0.3,AWS,87,18101,2,High,Medium Risk
Business Analyst,India,Mid,Master,2025,9421.72,0.75,Excel,78,6486,0,Low,High Risk
Cybersecurity Analyst,Canada,Senior,Master,2032,45884.64,0.32,Security,64,38259,2,High,Medium Risk
Data Analyst,Canada,Entry,Bachelor,2022,12760.42,0.62,SQL,80,41419,1,Medium,High Risk
AI Researcher,UK,Senior,Bachelor,2030,86235.04,0.2,Deep Learning,75,28192,2,High,Low Risk
Business Analyst,UK,Entry,Bachelor,2024,16077.37,0.74,Excel,98,23925,1,Medium,High Risk
Software Engineer,UK,Senior,Bachelor,2024,48481.54,0.44,Java,64,24714,1,High,Medium Risk
Product Manager,Germany,Mid,PhD,2031,45849.36,0.46,Strategy,70,7801,1,High,Medium Risk
Cloud Engineer,UK,Senior,PhD,2025,65689.45,0.35,AWS,68,24625,2,High,Medium Risk
Cloud Engineer,Australia,Mid,Master,2024,40260.99,0.34,AWS,76,12516,1,High,Medium Risk
Cybersecurity Analyst,India,Entry,PhD,2021,7496.29,0.21,Security,72,40081,1,Low,Low Risk
Cloud Engineer,USA,Senior,PhD,2020,65039.77,0.3,AWS,86,20065,2,High,Medium Risk
Software Engineer,India,Senior,Master,2023,15556.83,0.43,Java,88,27962,1,Medium,Medium Risk
Product Manager,Canada,Senior,Master,2018,49681.45,0.33,Strategy,60,18749,1,High,Medium Risk
Software Engineer,Germany,Entry,Master,2020,19245.62,0.4,Java,66,38080,1,Medium,Medium Risk
Cybersecurity Analyst,USA,Senior,PhD,2019,50898.52,0.19,Security,95,36909,2,High,Low Risk
Cybersecurity Analyst,USA,Entry,PhD,2024,27548.93,0.24,Security,78,7588,1,High,Low Risk
ML Engineer,Australia,Mid,Bachelor,2015,31609.36,0.15,Python,98,26289,2,High,Low Risk
Product Manager,Germany,Mid,Master,2029,44142.88,0.44,Strategy,98,16485,2,High,Medium Risk
Cloud Engineer,India,Entry,Master,2030,11148.53,0.4,AWS,72,22233,1,Medium,Medium Risk
Data Scientist,USA,Mid,Master,2017,36867.46,0.27,Python,79,14116,2,High,Low Risk
Product Manager,Australia,Senior,Bachelor,2019,55531.61,0.34,Strategy,98,40298,2,High,Medium Risk
ML Engineer,Canada,Mid,Bachelor,2022,38381.47,0.22,Python,84,34591,2,High,Low Risk
Data Scientist,Canada,Mid,PhD,2034,41051.61,0.44,Python,65,3105,1,High,Medium Risk
Product Manager,India,Senior,Master,2029,22105.04,0.44,Strategy,91,23700,1,High,Medium Risk
Business Analyst,Germany,Senior,Master,2024,30291.52,0.74,Excel,80,21559,1,High,High Risk
Product Manager,Canada,Entry,PhD,2018,22940.09,0.33,Strategy,70,12003,1,High,Medium Risk
Software Engineer,Australia,Entry,Master,2017,16493.66,0.37,Java,94,31354,1,Medium,Medium Risk
ML Engineer,India,Entry,PhD,2017,9739.73,0.17,Python,77,7190,1,Low,Low Risk
ML Engineer,USA,Mid,Master,2034,67646.51,0.34,Python,73,43356,2,High,Medium Risk
Business Analyst,Germany,Entry,Bachelor,2024,16170.23,0.74,Excel,62,20087,0,Medium,High Risk
Cybersecurity Analyst,Australia,Mid,Bachelor,2022,29086.33,0.22,Security,70,14323,1,High,Low Risk
Cybersecurity Analyst,Australia,Senior,PhD,2021,44348.14,0.21,Security,75,22447,2,High,Low Risk
AI Researcher,USA,Senior,Bachelor,2035,106896.36,0.25,Deep Learning,83,1667,2,High,Low Risk
ML Engineer,Germany,Entry,Bachelor,2016,20919.07,0.16,Python,87,37487,2,High,Low Risk
ML Engineer,Germany,Senior,PhD,2033,67267.46,0.33,Python,87,28355,2,High,Medium Risk
Cybersecurity Analyst,UK,Entry,Master,2024,20567.23,0.24,Security,95,21159,2,High,Low Risk
AI Researcher,Germany,Senior,PhD,2030,70026.44,0.2,Deep Learning,76,39088,2,High,Low Risk
Business Analyst,USA,Senior,Bachelor,2028,49136.54,0.78,Excel,79,36547,1,High,High Risk
Cloud Engineer,Canada,Mid,Bachelor,2017,28927.27,0.27,AWS,72,35349,1,High,Low Risk
Software Engineer,Australia,Senior,PhD,2015,33360.5,0.35,Java,65,6713,1,High,Medium Risk
Cybersecurity Analyst,Canada,Entry,Bachelor,2030,22057.52,0.3,Security,64,11136,1,High,Medium Risk
DevOps Engineer,Australia,Mid,Master,2020,32069.4,0.25,Docker,89,24793,2,High,Low Risk
Product Manager,UK,Senior,Master,2017,51726.24,0.32,Strategy,64,2015,1,High,Medium Risk
Business Analyst,Germany,Mid,Master,2025,22187.91,0.75,Excel,60,35961,0,High,High Risk
Data Scientist,India,Mid,Master,2030,15913.1,0.4,Python,70,24833,1,Medium,Medium Risk
Cybersecurity Analyst,Australia,Mid,PhD,2016,23075.39,0.16,Security,81,7970,1,High,Low Risk
Business Analyst,USA,Mid,Master,2025,34029.3,0.75,Excel,72,21384,0,High,High Risk
Data Scientist,UK,Senior,Bachelor,2032,63022.9,0.42,Python,94,9702,2,High,Medium Risk
Business Analyst,UK,Entry,Bachelor,2031,19385.38,0.81,Excel,65,13763,0,Medium,High Risk
Cloud Engineer,Canada,Mid,PhD,2029,43153.51,0.39,AWS,90,10860,2,High,Medium Risk
Data Analyst,India,Mid,PhD,2019,7387.48,0.59,SQL,82,24524,0,Low,Medium Risk
Cybersecurity Analyst,UK,Senior,Master,2018,40672.81,0.18,Security,69,33201,2,High,Low Risk
Data Analyst,Australia,Senior,Bachelor,2020,27262.31,0.6,SQL,80,39765,1,High,High Risk
Cybersecurity Analyst,Canada,Entry,PhD,2028,20434.34,0.28,Security,72,22949,1,High,Low Risk
Data Scientist,India,Entry,Master,2018,8207.16,0.28,Python,99,43783,2,Low,Low Risk
ML Engineer,UK,Senior,Master,2031,67832.42,0.31,Python,90,8239,2,High,Medium Risk
Cybersecurity Analyst,UK,Mid,Master,2022,26045.98,0.22,Security,93,44125,2,High,Low Risk
Business Analyst,Canada,Entry,Master,2021,16029.51,0.71,Excel,71,43944,0,Medium,High Risk
Product Manager,Canada,Senior,Bachelor,2017,48034.54,0.32,Strategy,64,25285,2,High,Medium Risk
Cybersecurity Analyst,UK,Mid,PhD,2023,31234.43,0.23,Security,76,20198,2,High,Low Risk
Data Analyst,Germany,Senior,Master,2033,31384.46,0.73,SQL,74,2252,0,High,High Risk
Product Manager,Australia,Mid,Bachelor,2029,45151.91,0.44,Strategy,61,27698,1,High,Medium Risk
DevOps Engineer,UK,Mid,Master,2032,41845.47,0.37,Docker,97,14051,2,High,Medium Risk
DevOps Engineer,UK,Mid,Master,2021,38025.64,0.26,Docker,93,9017,2,High,Low Risk
Software Engineer,Canada,Mid,Bachelor,2028,31825.03,0.48,Java,86,11209,1,High,Medium Risk
Data Analyst,Germany,Senior,Master,2027,29671.32,0.67,SQL,97,32703,1,High,High Risk
AI Researcher,Australia,Senior,Bachelor,2030,82609.78,0.2,Deep Learning,89,5854,2,High,Low Risk
Data Analyst,India,Senior,PhD,2025,11755.23,0.65,SQL,76,38660,0,Medium,High Risk
Data Scientist,UK,Entry,PhD,2029,25867.47,0.39,Python,76,22833,1,High,Medium Risk
Data Analyst,Australia,Entry,Master,2035,19119.85,0.75,SQL,79,37932,0,Medium,High Risk
ML Engineer,USA,Mid,Master,2025,59841.96,0.25,Python,61,5300,2,High,Low Risk
Product Manager,Australia,Mid,PhD,2017,30998.32,0.32,Strategy,70,7254,1,High,Medium Risk
Cloud Engineer,Australia,Senior,Master,2025,53616.31,0.35,AWS,75,7238,2,High,Medium Risk
Business Analyst,Canada,Entry,PhD,2017,13235.12,0.67,Excel,75,25071,0,Medium,High Risk
Software Engineer,Australia,Senior,Master,2022,41282.41,0.42,Java,63,43679,1,High,Medium Risk
Data Scientist,UK,Entry,PhD,2018,20986.55,0.28,Python,91,37034,2,High,Low Risk
Business Analyst,India,Senior,Master,2015,10532.0,0.65,Excel,91,11161,0,Medium,High Risk
Data Analyst,Germany,Entry,Master,2026,14249.71,0.66,SQL,78,22508,0,Medium,High Risk
Cloud Engineer,UK,Entry,Bachelor,2031,30920.15,0.41,AWS,81,14716,1,High,Medium Risk
AI Researcher,Canada,Senior,Bachelor,2020,58873.07,0.1,Deep Learning,64,40144,2,High,Low Risk
ML Engineer,USA,Senior,Master,2034,96061.22,0.34,Python,93,43928,2,High,Medium Risk
Software Engineer,UK,Senior,Bachelor,2022,45769.26,0.42,Java,86,24624,2,High,Medium Risk
Business Analyst,Australia,Mid,Master,2023,21524.98,0.73,Excel,81,11478,0,High,High Risk
Data Analyst,UK,Mid,PhD,2032,25427.14,0.72,SQL,76,30721,1,High,High Risk
ML Engineer,USA,Mid,Master,2033,69444.34,0.33,Python,67,15178,2,High,Medium Risk
Cybersecurity Analyst,Australia,Mid,PhD,2023,26662.42,0.23,Security,74,1302,1,High,Low Risk
Business Analyst,Germany,Entry,Master,2030,17302.35,0.8,Excel,81,9717,0,Medium,High Risk
Data Scientist,India,Mid,PhD,2026,13614.56,0.36,Python,82,3125,1,Medium,Medium Risk
Product Manager,Germany,Senior,Master,2015,42801.86,0.3,Strategy,85,5621,2,High,Medium Risk
AI Researcher,Germany,Entry,PhD,2016,21781.63,0.06,Deep Learning,66,6122,1,High,Low Risk
Product Manager,Australia,Mid,Master,2022,40540.12,0.37,Strategy,77,41441,2,High,Medium Risk
Product Manager,Germany,Entry,PhD,2021,23054.77,0.36,Strategy,74,47271,1,High,Medium Risk
Product Manager,Germany,Senior,PhD,2019,46070.89,0.34,Strategy,96,11267,2,High,Medium Risk
Data Scientist,Australia,Senior,Bachelor,2024,46497.97,0.34,Python,76,30926,2,High,Medium Risk
Business Analyst,USA,Senior,Master,2019,37778.33,0.69,Excel,84,40056,1,High,High Risk
Data Scientist,Germany,Mid,PhD,2028,33658.34,0.38,Python,84,43563,2,High,Medium Risk
ML Engineer,India,Entry,PhD,2026,10848.25,0.26,Python,77,27734,1,Medium,Low Risk
DevOps Engineer,Canada,Mid,Bachelor,2023,34422.06,0.28,Docker,81,15369,1,High,Low Risk
Business Analyst,Germany,Senior,Master,2018,28942.93,0.68,Excel,99,16728,1,High,High Risk
Business Analyst,USA,Entry,Bachelor,2027,23624.69,0.77,Excel,96,20123,1,High,High Risk
DevOps Engineer,Germany,Entry,Master,2015,18911.25,0.2,Docker,93,11167,1,Medium,Low Risk
Cybersecurity Analyst,Canada,Entry,Master,2026,20567.89,0.26,Security,65,4812,1,High,Low Risk
Cybersecurity Analyst,Canada,Mid,PhD,2026,31942.5,0.26,Security,81,27900,2,High,Low Risk
Data Scientist,Australia,Entry,Master,2015,17587.81,0.25,Python,63,12613,1,Medium,Low Risk
Product Manager,Canada,Mid,PhD,2022,33911.06,0.37,Strategy,89,14918,1,High,Medium Risk
Data Scientist,Australia,Mid,PhD,2024,31242.67,0.34,Python,68,14046,1,High,Medium Risk
AI Researcher,USA,Entry,Bachelor,2016,29863.74,0.06,Deep Learning,90,5324,2,High,Low Risk
