Transaction_ID,Sale_Date,Shoe_Model,Colorway,Condition,Retail_Price_USD,Resale_Price_USD,Sales_Channel,Days_in_Inventory,Profit_Margin_USD
TRX-100028,2024-12-12,Air Jordan 11 Retro,Lost & Found,Used,226,168.45,Walk-in Retail,37,-57.55000000000001
TRX-100029,2025-07-06,Air Jordan 1 Low,Military Blue,Used,116,69.03,StockX,6,-46.97
TRX-100030,2025-05-05,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),228,241.43,Stadium Goods,16,13.430000000000007
TRX-100031,2024-01-24,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),216,306.37,Stadium Goods,47,90.37
TRX-100032,2024-01-22,Air Jordan 3 Retro,Military Blue,Deadstock (Brand New),207,680.6,Stadium Goods,57,473.6
TRX-100033,2025-01-19,Air Jordan 11 Retro,Chicago,Deadstock (Brand New),227,591.57,StockX,14,364.57000000000005
TRX-100034,2023-06-01,Air Jordan 1 High,Military Blue,Used,188,97.46,Stadium Goods,53,-90.54
TRX-100035,2024-10-04,Air Jordan 4 Retro,Pine Green,Deadstock (Brand New),219,524.34,GOAT,1,305.34000000000003
TRX-100036,2025-08-13,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),189,235.47,Stadium Goods,37,46.47
TRX-100037,2025-08-15,Air Jordan 1 High,Mocha,Deadstock (Brand New),188,427.01,StockX,9,239.01
TRX-100038,2025-01-22,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),121,304.5,StockX,7,183.5
TRX-100039,2025-05-05,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),225,301.25,GOAT,6,76.25
TRX-100040,2024-04-18,Air Jordan 1 Low,Black Cat,Deadstock (Brand New),126,168.65,StockX,4,42.650000000000006
TRX-100041,2023-08-20,Air Jordan 3 Retro,Bred,Used,210,154.65,Walk-in Retail,50,-55.349999999999994
TRX-100042,2025-01-02,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),228,299.99,Stadium Goods,50,71.99000000000001
TRX-100043,2025-04-07,Air Jordan 1 Low,Lost & Found,Used,133,73.06,StockX,2,-59.94
TRX-100044,2023-08-30,Air Jordan 1 High,Bred,VNDS (Very Near Deadstock),183,225.13,StockX,5,42.129999999999995
TRX-100045,2024-09-15,Air Jordan 1 High,Concord,VNDS (Very Near Deadstock),179,169.88,GOAT,12,-9.120000000000005
TRX-100046,2023-04-26,Air Jordan 4 Retro,Chicago,Used,218,123.44,kick hub 2026,34,-94.56
TRX-100047,2023-01-25,Air Jordan 3 Retro,Bred,Deadstock (Brand New),200,319.99,GOAT,7,119.99000000000001
TRX-100048,2024-10-30,Air Jordan 11 Retro,Pine Green,Deadstock (Brand New),228,555.5,StockX,11,327.5
TRX-100049,2023-03-23,Air Jordan 3 Retro,Military Blue,Used,202,108.51,StockX,5,-93.49
TRX-100050,2023-12-02,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),220,302.88,kick hub 2026,35,82.88
TRX-100051,2024-05-13,Air Jordan 3 Retro,Mocha,Used,200,171.01,Stadium Goods,47,-28.99000000000001
TRX-100052,2024-10-12,Air Jordan 1 Low,Black Cat,Used,125,97.66,Stadium Goods,21,-27.340000000000003
TRX-100053,2024-05-11,Air Jordan 3 Retro,Black Cat,Deadstock (Brand New),208,446.15,kick hub 2026,20,238.14999999999998
TRX-100054,2025-04-15,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),226,759.43,Stadium Goods,55,533.43
TRX-100055,2025-06-20,Air Jordan 3 Retro,Bred,VNDS (Very Near Deadstock),202,211.51,StockX,8,9.509999999999991
TRX-100056,2024-05-19,Air Jordan 1 Low,Sail,VNDS (Very Near Deadstock),132,170.01,kick hub 2026,7,38.00999999999999
TRX-100057,2024-10-05,Air Jordan 11 Retro,Sail,Used,229,184.37,kick hub 2026,53,-44.629999999999995
TRX-100058,2023-05-27,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),176,163.4,Stadium Goods,31,-12.599999999999994
TRX-100059,2024-10-13,Air Jordan 1 Low,Concord,VNDS (Very Near Deadstock),112,110.41,kick hub 2026,57,-1.5900000000000034
TRX-100060,2024-07-30,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),228,212.72,GOAT,11,-15.280000000000001
TRX-100061,2024-12-16,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),211,193.96,Walk-in Retail,50,-17.039999999999992
TRX-100062,2024-08-06,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),173,200.36,Stadium Goods,55,27.360000000000014
TRX-100063,2024-01-26,Air Jordan 3 Retro,Black Cat,Used,208,118.61,kick hub 2026,32,-89.39
TRX-100064,2024-12-09,Air Jordan 1 High,Bred,Used,170,101.7,kick hub 2026,28,-68.3
TRX-100065,2024-10-04,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),211,191.93,StockX,1,-19.069999999999993
TRX-100066,2025-08-31,Air Jordan 1 Low,Sail,Deadstock (Brand New),132,247.89,Walk-in Retail,32,115.88999999999999
TRX-100067,2025-02-21,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),226,670.42,StockX,8,444.41999999999996
TRX-100068,2025-06-15,Air Jordan 4 Retro,Chicago,Used,220,181.97,GOAT,5,-38.03
TRX-100069,2023-06-21,Air Jordan 11 Retro,Concord,Used,229,134.64,Walk-in Retail,51,-94.36000000000001
TRX-100070,2023-03-19,Air Jordan 1 High,Pine Green,Used,181,117.95,Walk-in Retail,54,-63.05
TRX-100071,2025-07-05,Air Jordan 3 Retro,Sail,VNDS (Very Near Deadstock),202,193.83,StockX,14,-8.169999999999987
TRX-100072,2024-11-05,Air Jordan 3 Retro,Chicago,Deadstock (Brand New),204,391.7,StockX,9,187.7
TRX-100073,2025-02-25,Air Jordan 1 High,Sail,Used,182,142.64,GOAT,12,-39.360000000000014
TRX-100074,2023-03-30,Air Jordan 11 Retro,Concord,Deadstock (Brand New),230,751.9,Stadium Goods,60,521.9
TRX-100075,2024-10-08,Air Jordan 1 High,Bred,VNDS (Very Near Deadstock),187,225.83,Stadium Goods,21,38.83000000000001
TRX-100076,2024-04-08,Air Jordan 11 Retro,Lost & Found,Deadstock (Brand New),230,580.21,StockX,12,350.21000000000004
TRX-100077,2023-03-22,Air Jordan 3 Retro,Pine Green,Deadstock (Brand New),207,593.96,StockX,1,386.96000000000004
TRX-100078,2024-07-18,Air Jordan 11 Retro,Chicago,Deadstock (Brand New),230,451.82,kick hub 2026,58,221.82
TRX-100079,2024-03-18,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),204,302.94,Walk-in Retail,46,98.94
TRX-100080,2025-03-24,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),182,261.39,kick hub 2026,55,79.38999999999999
TRX-100081,2023-01-13,Air Jordan 4 Retro,Concord,Deadstock (Brand New),213,596.74,StockX,3,383.74
TRX-100082,2025-07-15,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),211,207.22,StockX,9,-3.780000000000001
TRX-100083,2023-09-29,Air Jordan 11 Retro,Concord,VNDS (Very Near Deadstock),229,265.47,kick hub 2026,27,36.47000000000003
TRX-100084,2024-03-03,Air Jordan 3 Retro,Bred,Used,210,141.72,Stadium Goods,36,-68.28
TRX-100085,2025-04-13,Air Jordan 11 Retro,Bred,Deadstock (Brand New),225,340.7,GOAT,6,115.69999999999999
TRX-100086,2025-08-02,Air Jordan 4 Retro,Pine Green,Used,222,140.12,kick hub 2026,39,-81.88
TRX-100087,2025-06-03,Air Jordan 4 Retro,Lost & Found,VNDS (Very Near Deadstock),217,308.89,Stadium Goods,55,91.88999999999999
TRX-100088,2023-11-03,Air Jordan 4 Retro,Chicago,Used,222,120.14,Stadium Goods,58,-101.86
TRX-100089,2023-01-17,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),206,256.38,Walk-in Retail,53,50.379999999999995
TRX-100090,2024-05-12,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),227,245.01,GOAT,4,18.00999999999999
TRX-100091,2025-07-12,Air Jordan 1 Low,Sail,Used,120,64.67,GOAT,1,-55.33
TRX-100092,2025-03-26,Air Jordan 1 Low,Concord,Deadstock (Brand New),110,170.49,kick hub 2026,10,60.49000000000001
TRX-100093,2023-07-21,Air Jordan 1 High,Sail,Used,185,114.59,GOAT,3,-70.41
TRX-100094,2024-08-13,Air Jordan 3 Retro,Chicago,Deadstock (Brand New),200,496.04,Stadium Goods,57,296.04
TRX-100095,2025-04-29,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),218,253.06,Walk-in Retail,26,35.06
TRX-100096,2024-08-07,Air Jordan 1 Low,Chicago,Used,122,91.84,Stadium Goods,59,-30.159999999999997
TRX-100097,2025-02-17,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),185,267.18,Walk-in Retail,40,82.18
TRX-100098,2025-09-26,Air Jordan 3 Retro,Black Cat,Used,209,126.82,GOAT,13,-82.18
TRX-100099,2025-01-19,Air Jordan 11 Retro,Pine Green,Used,227,116.83,Walk-in Retail,18,-110.17
TRX-100100,2023-11-14,Air Jordan 3 Retro,Lost & Found,Used,209,187.83,Walk-in Retail,34,-21.169999999999987
TRX-100101,2023-07-04,Air Jordan 11 Retro,Bred,Used,229,185.03,Walk-in Retail,23,-43.97
TRX-100102,2023-02-12,Air Jordan 1 Low,Bred,Deadstock (Brand New),115,398.6,GOAT,4,283.6
TRX-100103,2023-06-08,Air Jordan 4 Retro,Mocha,VNDS (Very Near Deadstock),213,271.36,GOAT,13,58.360000000000014
TRX-100104,2024-08-24,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),128,380.27,Walk-in Retail,7,252.26999999999998
TRX-100105,2023-10-23,Air Jordan 4 Retro,Mocha,VNDS (Very Near Deadstock),213,316.7,StockX,8,103.69999999999999
TRX-100106,2024-07-20,Air Jordan 3 Retro,Black Cat,Used,203,155.9,kick hub 2026,58,-47.099999999999994
TRX-100107,2023-11-15,Air Jordan 11 Retro,Pine Green,VNDS (Very Near Deadstock),226,271.02,kick hub 2026,52,45.01999999999998
TRX-100108,2023-05-04,Air Jordan 1 Low,Mocha,VNDS (Very Near Deadstock),127,166.77,StockX,7,39.77000000000001
TRX-100109,2025-04-11,Air Jordan 1 Low,Pine Green,Used,124,96.13,kick hub 2026,45,-27.870000000000005
TRX-100110,2025-02-08,Air Jordan 1 Low,Pine Green,VNDS (Very Near Deadstock),126,113.7,kick hub 2026,32,-12.299999999999997
TRX-100111,2023-09-14,Air Jordan 3 Retro,Military Blue,Deadstock (Brand New),206,670.71,Walk-in Retail,48,464.71000000000004
TRX-100112,2023-01-08,Air Jordan 1 Low,Chicago,Used,114,57.12,StockX,14,-56.88
TRX-100113,2025-03-06,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),228,352.01,Walk-in Retail,22,124.00999999999999
TRX-100114,2023-10-09,Air Jordan 3 Retro,Pine Green,VNDS (Very Near Deadstock),208,202.7,Walk-in Retail,29,-5.300000000000011
TRX-100115,2023-11-17,Air Jordan 1 High,Concord,Deadstock (Brand New),185,638.41,Stadium Goods,37,453.40999999999997
TRX-100116,2025-02-24,Air Jordan 3 Retro,Sail,Deadstock (Brand New),202,662.24,Stadium Goods,33,460.24
TRX-100117,2025-06-14,Air Jordan 4 Retro,Mocha,Used,213,167.9,Stadium Goods,52,-45.099999999999994
TRX-100118,2024-05-19,Air Jordan 11 Retro,Black Cat,Used,228,156.45,Stadium Goods,46,-71.55000000000001
TRX-100119,2023-03-21,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),225,215.69,GOAT,1,-9.310000000000002
TRX-100120,2024-06-14,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),214,740.16,GOAT,2,526.16
TRX-100121,2025-03-30,Air Jordan 11 Retro,Sail,Deadstock (Brand New),225,431.8,GOAT,8,206.8
TRX-100122,2023-09-19,Air Jordan 1 Low,Pine Green,VNDS (Very Near Deadstock),122,173.33,Walk-in Retail,33,51.33000000000001
TRX-100123,2025-01-01,Air Jordan 11 Retro,Pine Green,VNDS (Very Near Deadstock),229,334.39,Walk-in Retail,34,105.38999999999999
TRX-100124,2025-01-23,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),219,553.43,kick hub 2026,29,334.42999999999995
TRX-100125,2025-01-10,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),210,199.34,StockX,11,-10.659999999999997
TRX-100126,2025-07-19,Air Jordan 3 Retro,Lost & Found,Used,200,139.98,StockX,2,-60.02000000000001
TRX-100127,2024-01-19,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),114,109.48,Walk-in Retail,41,-4.519999999999996
TRX-100128,2025-08-07,Air Jordan 3 Retro,Lost & Found,Used,200,106.63,Stadium Goods,17,-93.37
TRX-100129,2024-12-14,Air Jordan 3 Retro,Mocha,Deadstock (Brand New),209,448.74,StockX,6,239.74
TRX-100130,2025-07-07,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),230,452.78,StockX,2,222.77999999999997
TRX-100131,2025-07-02,Air Jordan 3 Retro,Black Cat,Used,206,120.27,GOAT,1,-85.73
TRX-100132,2024-06-25,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),228,261.4,StockX,5,33.39999999999998
TRX-100133,2023-03-12,Air Jordan 3 Retro,Sail,Deadstock (Brand New),207,667.69,GOAT,7,460.69000000000005
TRX-100134,2024-12-08,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),214,447.0,Stadium Goods,40,233.0
TRX-100135,2024-11-11,Air Jordan 11 Retro,Lost & Found,Used,230,189.06,GOAT,7,-40.94
TRX-100136,2025-04-27,Air Jordan 1 High,Mocha,VNDS (Very Near Deadstock),176,187.96,Walk-in Retail,50,11.960000000000008
TRX-100137,2024-07-31,Air Jordan 1 Low,Mocha,Deadstock (Brand New),138,240.47,Stadium Goods,42,102.47
TRX-100138,2023-02-19,Air Jordan 4 Retro,Lost & Found,Used,216,166.68,StockX,6,-49.31999999999999
TRX-100139,2024-03-16,Air Jordan 11 Retro,Pine Green,Deadstock (Brand New),228,791.53,Walk-in Retail,49,563.53
TRX-100140,2023-05-21,Air Jordan 1 High,Concord,VNDS (Very Near Deadstock),172,242.38,StockX,2,70.38
TRX-100141,2025-05-19,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),230,281.0,GOAT,10,51.0
TRX-100142,2025-05-09,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),129,228.99,kick hub 2026,15,99.99000000000001
TRX-100143,2025-08-15,Air Jordan 11 Retro,Pine Green,Used,228,118.31,kick hub 2026,37,-109.69
TRX-100144,2024-06-14,Air Jordan 1 Low,Pine Green,Used,131,68.99,kick hub 2026,11,-62.010000000000005
TRX-100145,2024-08-04,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),128,184.96,Stadium Goods,26,56.96000000000001
TRX-100146,2024-01-21,Air Jordan 1 Low,Pine Green,Used,130,88.39,StockX,7,-41.61
TRX-100147,2023-01-23,Air Jordan 3 Retro,Pine Green,Deadstock (Brand New),204,593.18,StockX,10,389.17999999999995
TRX-100148,2024-07-31,Air Jordan 1 High,Concord,Used,172,110.16,Stadium Goods,26,-61.84
TRX-100149,2024-02-15,Air Jordan 3 Retro,Mocha,Used,203,181.72,GOAT,13,-21.28
TRX-100150,2023-04-03,Air Jordan 3 Retro,Lost & Found,Used,204,126.16,Stadium Goods,10,-77.84
TRX-100151,2023-02-17,Air Jordan 3 Retro,Chicago,VNDS (Very Near Deadstock),205,278.84,Walk-in Retail,54,73.83999999999997
TRX-100152,2025-05-22,Air Jordan 1 Low,Concord,Deadstock (Brand New),123,268.24,Stadium Goods,54,145.24
TRX-100153,2023-05-11,Air Jordan 1 Low,Mocha,Deadstock (Brand New),124,397.45,Stadium Goods,58,273.45
TRX-100154,2023-06-27,Air Jordan 3 Retro,Black Cat,Used,209,175.28,Walk-in Retail,17,-33.72
TRX-100155,2025-07-11,Air Jordan 3 Retro,Chicago,Used,209,150.85,GOAT,10,-58.150000000000006
TRX-100156,2025-09-15,Air Jordan 4 Retro,Sail,Deadstock (Brand New),221,498.32,Walk-in Retail,53,277.32
TRX-100157,2023-03-19,Air Jordan 4 Retro,Chicago,Used,218,179.27,GOAT,14,-38.72999999999999
TRX-100158,2024-12-05,Air Jordan 11 Retro,Lost & Found,VNDS (Very Near Deadstock),227,271.15,Stadium Goods,12,44.14999999999998
TRX-100159,2024-07-16,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),215,217.54,kick hub 2026,52,2.539999999999992
TRX-100160,2024-10-21,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),226,217.63,Stadium Goods,30,-8.370000000000005
TRX-100161,2023-03-04,Air Jordan 1 Low,Sail,Deadstock (Brand New),113,219.47,kick hub 2026,40,106.47
TRX-100162,2024-02-13,Air Jordan 1 Low,Military Blue,Used,135,75.07,Stadium Goods,19,-59.93000000000001
TRX-100163,2023-10-23,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),211,300.65,Walk-in Retail,13,89.64999999999998
TRX-100164,2024-03-27,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),219,670.79,kick hub 2026,13,451.78999999999996
TRX-100165,2025-08-08,Air Jordan 4 Retro,Military Blue,Deadstock (Brand New),212,369.48,GOAT,5,157.48000000000002
TRX-100166,2024-02-10,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),203,187.45,Stadium Goods,58,-15.550000000000011
TRX-100167,2024-02-14,Air Jordan 11 Retro,Sail,Deadstock (Brand New),226,530.98,Stadium Goods,51,304.98
TRX-100168,2024-06-26,Air Jordan 3 Retro,Concord,Used,200,110.61,GOAT,8,-89.39
TRX-100169,2025-03-09,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),210,217.43,Walk-in Retail,5,7.430000000000007
TRX-100170,2024-02-18,Air Jordan 1 High,Sail,Deadstock (Brand New),190,650.91,kick hub 2026,28,460.90999999999997
TRX-100171,2023-03-20,Air Jordan 4 Retro,Chicago,Deadstock (Brand New),217,538.58,Stadium Goods,52,321.58000000000004
TRX-100172,2024-09-19,Air Jordan 3 Retro,Lost & Found,Deadstock (Brand New),200,370.77,StockX,9,170.76999999999998
TRX-100173,2024-03-24,Air Jordan 3 Retro,Concord,Used,210,132.39,Stadium Goods,46,-77.61000000000001
TRX-100174,2024-06-17,Air Jordan 11 Retro,Mocha,VNDS (Very Near Deadstock),226,220.39,StockX,10,-5.610000000000014
TRX-100175,2024-01-12,Air Jordan 1 Low,Pine Green,Used,137,74.43,Walk-in Retail,15,-62.56999999999999
TRX-100176,2023-06-28,Air Jordan 1 High,Chicago,Deadstock (Brand New),187,459.93,kick hub 2026,42,272.93
TRX-100177,2023-08-07,Air Jordan 4 Retro,Military Blue,VNDS (Very Near Deadstock),218,208.31,StockX,14,-9.689999999999998
TRX-100178,2023-08-06,Air Jordan 3 Retro,Chicago,Used,210,183.61,Stadium Goods,41,-26.389999999999986
TRX-100179,2025-04-17,Air Jordan 1 High,Lost & Found,VNDS (Very Near Deadstock),177,238.95,Walk-in Retail,51,61.94999999999999
TRX-100180,2023-11-05,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),225,288.71,Walk-in Retail,17,63.70999999999998
TRX-100181,2023-04-10,Air Jordan 1 Low,Sail,Used,130,83.33,StockX,1,-46.67
TRX-100182,2025-07-24,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),226,475.82,GOAT,13,249.82
TRX-100183,2023-02-17,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),226,236.38,StockX,14,10.379999999999995
TRX-100184,2023-05-08,Air Jordan 3 Retro,Military Blue,Used,208,128.21,kick hub 2026,9,-79.78999999999999
TRX-100185,2025-06-20,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),213,235.86,GOAT,4,22.860000000000014
TRX-100186,2024-08-26,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),132,180.21,kick hub 2026,36,48.21000000000001
TRX-100187,2023-10-08,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),225,224.29,GOAT,2,-0.710000000000008
TRX-100188,2025-01-12,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),218,326.39,StockX,4,108.38999999999999
TRX-100189,2023-10-19,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),190,256.71,Stadium Goods,47,66.70999999999998
TRX-100190,2023-05-27,Air Jordan 4 Retro,Chicago,Used,210,154.63,Stadium Goods,42,-55.370000000000005
TRX-100191,2023-03-03,Air Jordan 1 Low,Pine Green,Used,124,86.82,GOAT,1,-37.18000000000001
TRX-100192,2023-04-10,Air Jordan 1 Low,Bred,VNDS (Very Near Deadstock),112,112.3,GOAT,14,0.29999999999999716
TRX-100193,2023-09-14,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),200,262.91,kick hub 2026,23,62.910000000000025
TRX-100194,2025-06-02,Air Jordan 3 Retro,Pine Green,VNDS (Very Near Deadstock),205,278.45,kick hub 2026,28,73.44999999999999
TRX-100195,2024-06-06,Air Jordan 3 Retro,Chicago,Deadstock (Brand New),209,517.53,GOAT,10,308.53
TRX-100196,2024-03-20,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),204,256.3,Walk-in Retail,39,52.30000000000001
TRX-100197,2025-06-12,Air Jordan 3 Retro,Sail,Used,207,146.56,GOAT,5,-60.44
TRX-100198,2024-11-26,Air Jordan 3 Retro,Sail,Deadstock (Brand New),210,665.39,GOAT,11,455.39
TRX-100199,2023-06-08,Air Jordan 1 Low,Bred,Used,137,76.96,StockX,5,-60.040000000000006
TRX-100200,2024-07-27,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),131,335.31,kick hub 2026,50,204.31
TRX-100201,2025-06-06,Air Jordan 1 Low,Chicago,VNDS (Very Near Deadstock),114,123.08,StockX,10,9.079999999999998
TRX-100202,2024-07-31,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),227,446.18,Walk-in Retail,59,219.18
TRX-100203,2024-05-04,Air Jordan 1 High,Concord,Deadstock (Brand New),172,217.8,StockX,9,45.80000000000001
TRX-100204,2024-11-23,Air Jordan 3 Retro,Mocha,Deadstock (Brand New),202,375.91,Stadium Goods,29,173.91000000000003
TRX-100205,2025-09-21,Air Jordan 1 High,Sail,Deadstock (Brand New),170,349.42,StockX,4,179.42000000000002
TRX-100206,2025-01-25,Air Jordan 3 Retro,Lost & Found,Deadstock (Brand New),200,530.63,Walk-in Retail,32,330.63
TRX-100207,2024-11-17,Air Jordan 1 High,Military Blue,Used,188,116.99,kick hub 2026,24,-71.01
TRX-100208,2023-02-10,Air Jordan 1 Low,Mocha,Deadstock (Brand New),131,299.32,Walk-in Retail,29,168.32
TRX-100209,2024-12-25,Air Jordan 11 Retro,Chicago,Deadstock (Brand New),230,462.29,StockX,11,232.29000000000002
TRX-100210,2025-01-22,Air Jordan 4 Retro,Military Blue,VNDS (Very Near Deadstock),220,248.39,GOAT,1,28.389999999999986
TRX-100211,2023-10-31,Air Jordan 1 Low,Black Cat,Used,122,93.7,kick hub 2026,42,-28.299999999999997
TRX-100212,2024-05-07,Air Jordan 1 Low,Sail,VNDS (Very Near Deadstock),116,158.12,GOAT,2,42.120000000000005
TRX-100213,2024-09-24,Air Jordan 1 High,Military Blue,VNDS (Very Near Deadstock),171,197.55,kick hub 2026,47,26.55000000000001
TRX-100214,2023-05-05,Air Jordan 1 High,Concord,Deadstock (Brand New),170,594.92,kick hub 2026,47,424.91999999999996
TRX-100215,2023-04-10,Air Jordan 11 Retro,Concord,VNDS (Very Near Deadstock),228,286.14,GOAT,4,58.139999999999986
TRX-100216,2024-10-11,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),228,229.84,GOAT,2,1.8400000000000034
TRX-100217,2024-04-19,Air Jordan 4 Retro,Chicago,Used,216,165.87,Stadium Goods,18,-50.129999999999995
TRX-100218,2024-04-25,Air Jordan 1 High,Military Blue,Deadstock (Brand New),175,573.31,kick hub 2026,9,398.30999999999995
