id,year,type,question
109,2016,MCQs,This type of error is detected by the compiler: $  Run time $ Logical $ Syntax $ Absolute
114,2016,MCQs,A pictorial/ graphical representation of program known as: $ Flowchart $ Procedure $ Source code $ Algorithm
119,2016,MCQs,"A program, written in high level language, is known as: $ Source code $ Object code $ Uni code $ Executable code"
124,2016,MCQs,Format specifiers must start with: $ & $ % $ •/ $ \•
129,2016,MCQs,This is a relational expression: $ x = y; $ x == y; $ x + y; $ x ++
134,2016,MCQs,The gets () statement is used to input: $ Integer data $ Single character data $ Float data $ String data
139,2016,MCQs,"To print the values of %lf a and b given below \n the following print() statement will be used \n float a=3.14; double b=2.532; : $ printf (""%f%$f"",a,b); $ printf(""%Lf%Lf""$,a,b); $ printf (""%Lf%f"",a,b); $ printf ("" f%Lf"",a,b);"
144,2016,MCQs,The columns in a Microsoft Access Table are called: $ Records $ Fields $ Entities $ Rows
149,2016,MCQs,A foreign key: $ has nothing to do with the primary key $ has different values than the primary key $ is found in tables that do not have a primary key $ is related to the primary key of a different table
154,2016,MCQs,The various components in MS Access are called: $ Tools $ Entities $ Properties $ Objects
159,2016,MCQs,A field in DBMS is sometimes called a/an: $ File $ Attribute $ Record $ Database
164,2016,MCQs,A function which invokes itself is called: $ Recursive function $ System function $ Library function $ Iteration function
169,2016,Short,(i) Define each format specifier with an example: $  (a) %c $ (b) %d $ (c) %f $ (d) %s $ (e) %If $ (f) %Id
176,2016,Short,"(ii) Determine any six valid or invalid indentifiers, in case of invalid, given reason. $ Include $ Stwenty $ 5-numbers $ y/s $ integer $ f_name $ Getch $ smallest"
185,2016,Short,(iii) Draw a flowchart that prints the table of any inputted number.
186,2016,Short,"(iv) What is meant by case-sensitive language? Write the structure of ""C"" program."
187,2016,Short,(v) Write a program in C language to print the number from 4 to 9 and their squares. (using do while loop)
188,2016,Short,"(vi) Convert the following mathematical expressions into ""C"" equivalent statements: $ A = (pi)r^(2) $ x = 3ab^(3) + 3a^(2)b $ d = | b^(2) - 4ac | $ y = a^(2) + b^(2) + c^(4) $ X = (a^(2) + b^(3))^(n) $ J = 1/2 pb"
195,2016,Short,"vii) Write the output of the following statement of C-program. for (int i = 2; i <10; i++) { printf(""%d"",i); if( i%2 ==0) continue printf(""\n""); }"
196,2016,Short,(viii) What is algorithm? Define different Algorithm Notations
197,2016,Short,(ix) What are the responsibilities of DBA?
198,2016,Long,3.(a) What is loop? Explain nested for loop with an example. $ (b) What is preprocessor directive? Explain any two preprocessor directives in C with examples.
200,2016,Long,4.(a) Define data files. Describe any two types of data files used in C-program. $ (b) Define operators. Explain different types of operators in C-language.
202,2016,Long,5.(a) Explain the objects of MS Access. $ (b) What is database? What are the advantages of relational database management system (RDMBS)?
204,2017,MCQs,This arithmetic operator computes the integer remainder: $ - $ % $ + $ /
209,2017,MCQs,A top to bottom relationship among the items in a database is established by a: $ Hierarchical Model $ Network Model $ Relation Model $ Flat Model
214,2017,MCQs,This one of the following represents a comment in C: $ < > $ [ ] $ / / $ /* */
219,2017,MCQs,A relational database developer refers to a record as: $ A criteria $ A relation $ A tuple $ An attribute
224,2017,MCQs,The format specifier starts with: $ % $ / $ \ $ #
229,2017,MCQs,This MS Access object is considered primary: $ Table $ Query $ Form $ Report
234,2017,MCQs,"=' is an operator of this type: $ Logical $ Arithmetic $ Assignment $ Relation"""
239,2017,MCQs,Reserved word 'case' is used with this statement: $ printf() $ scanf() $ switch() $ getch()
244,2017,MCQs,This standard I/O function is used to close a data file: $ gclose() $ fclose() $ fscanf() $ fcall()
249,2017,MCQs,This format specifier is used for double precision value: $ %ld $ %lf $ %d $ %u
254,2017,MCQs,The quantities which may change during program execution are called: $ Constants $ Variable $ Strings $ Integers
259,2017,MCQs,The 'break' statement is used to exit from this part of a loop: $ Beginning $ Middle $ End $ Never exit
264,2017,MCQs,This is the default data type in MS Access: $ Text $ Auto number $ Number $ Data
269,2017,MCQs,The '\\n' character does this one of the following operations: $ Double line spacing $ Character deletion $ Character backspace $ Place cursor on the next line
274,2017,MCQs,#define PI 3.14159. This code represents one of the following: $ Preprocessor directive $ Variable $ Constant $ Integer
279,2017,Short,(i) What is foreign key? Where do we use it?
280,2017,Short,(ii) What is the main difference between while and do-while loop?
281,2017,Short,(iii) In which condition is one to many relationship used?
282,2017,Short,"(iv) What is the output of the following program statements? For (int a=1; a<5; a++) { for (int b=a; b<5; b++) printf(""%d"", b); printf(""\n""); }"
283,2017,Short,(v) What do you mean by function prototype?
284,2017,Short,(vi) What is operator precedence? Write the precedence of arithmetic operators.
285,2017,Short,(vii) Write a program that swap two inputted numbers.
286,2017,Short,(viii) Write the full form of the following: $ SQL $ DML $ DDL
287,2017,Short,(ix) How does else-if ladder differ from switch statement?
288,2017,Short,(x) What is data dictionary in DBMS?
289,2017,Short,"(xi) What will be the output of the following program? void main ( ) { int n=5; if (n<1) printf(""hello""); if (n==5) printf(""hi""); else printf(""no""); }"
290,2017,Short,"(xii) Write the equivalent code of the following statement in while loop format: $ for (a=1; a<=100; a++) printf(""%d\n"", a * a);"
291,2017,Short,(xiii) Define an increment or decrement statement in C.
292,2017,Short,(xiv) Define the following file opening modes in C: $  r $ w $ a
296,2017,Short,(xv) Debug the following program: void main viod ( )
297,2017,Short,(xvi) Write a program to calculate the area of a rectangle (Hint: A=w x h).
298,2017,Short,(xvii) What do you mean by reserved words in C language?
299,2017,Short,(xviii) Write equivalent C statement: $ (a) x = (b^(2) -c^(3))/2bc  $ (b) b = root(x+y)+z^(3) where pi=3.14
303,2017,Long,3. (a) What is meant by Control Structure? Discuss selection control structure. $ (b) Define Database. Define the major data types used in Ms Access. $ (c) What is the purpose of break and continue statement?
306,2017,Long,4. (a) Define the data types of C. $ (b) Define Network Model. Where do we use it? $ (c) Define formatted I/O and unformatted I/O functions.
309,2017,Long,5. (a) Define any four objects of DBMS. $ (b) Define for loop with an example. $ (c) What is Function? Define its importance in C language.
312,2018,MCQs,"A character constant is a single character, enclosed: $ in double quotation marks $ in single quotation marks $ in left and right braces $ without quotation marks"
317,2018,MCQs,Comments or remarks can be placed anywhere within a program as long as they are placed within delimiters: $ by braces and asterisks (comments) $ by asterisks comments $ by parenthesis and asterisks (comments) $ by slashes and asterisks /comments/
322,2018,MCQs,The function void play (void); is the example of: $ Calling function $ Return type function $ A prototype declared as a function $ Itself function
327,2018,MCQs,This operator has the lowest precedence: $ ** $ % $ < $ &&
332,2018,MCQs,This converts C program into machine language: $ An editor $ A compiler $ An operating system $ A linker
337,2018,MCQs,This function is used to read a character from a data file: $ putchar() $ getc() $ getch() $ getche()
342,2018,MCQs,Loop within the loop is called: $ Nested loop $ Continuous loop $ Inner loop $ Outer loop
347,2018,MCQs,The database tool is used to display and print your data in an organized manner: $ Record $ Field $ Report $ Table
352,2018,MCQs,This database model organizes data into a tree structure: $ Hierarchical $ Relational $ Network model $ Object oriented model
357,2018,MCQs,Each row in a table is also called a: $ Field $ Tuple $ Entity $ Attribute
362,2018,MCQs,A person who is responsible for managing the overall database management system is called: $ Database administrator $ Network supervisor $ System analyst $ Programmer
367,2018,MCQs,This is escape sequence: $ \\n $ \\t $ %f $ i++
372,2018,MCQs,This is the output of 4 % 5: $ 0 $ 1 $ 4 $ 5
377,2018,MCQs,The specialized software necessary to create and process the database and modified as needed is called: $ Compiler $ Windows xp $ DBMS $ Interpreter
382,2018,MCQs,The include <stdio.h> does not begin without a sign of: $  $ != $ # $ @
387,2018,Short,"(i) If x = 1, what is the output of the following program segments? Printf (""x = %d\n"", x); Printf (""x = %d\n"", ++x); Printf (""x = %d\n"", x);"
388,2018,Short,(ii) What is the difference between source program and an object program?
389,2018,Short,(iii) Determine which of the following are valid or invalid identifiers: $  Array1 $ @tax $ name and address.
394,2018,Short,(iv) What is the difference between arithmetic and arithmetic assignment operators?
395,2018,Short,(v) What is the difference between DBMS and RDBMS?
396,2018,Short,(vi) Write the full form of DCL $ IDE $ DBMS.
397,2018,Short,(vii) Write the name of objects in MS-Access.
398,2018,Short,(viii) Define the following functions: $ Pow() $ sqrt() $ abs()
401,2018,Short,"(ix) Write the print() statements of the following: $ Int a=4562; $ float c=15.27; $ char[ ] ""intermediate class"";"
405,2018,Short,"(x) Write the following in while( ) equivalent: $ Void main ( void ) { Int a=3; Do {print(""%d\n"",a); a=a+3; } While (a=10);}"
406,2018,Short,(xi) Define Relational database model.
407,2018,Short,(xii) Convert the following algebraic expression into C-equivalent format: $ 1/2 ab^4 $ -b+b^(2)-4ac / 2a $ y = |b^(2)-4ac|
411,2018,Short,(xiii) Write a C-program to calculate the power of numbers from 1 to 5.
412,2018,Short,(xiv) What is the meaning of two void used in any function declaration? i.e. `void main(void)`
413,2018,Short,"(xv) What is wrong with the following C-program? Void main(void) ( Printf""Hoo what a wonderful short!"" )"
414,2018,Short,(xvi) Write a program that prints factorial of any inputted member.
415,2018,Short,(xvii) What is composite key? Where do we use it?
416,2018,Short,(xviii) How can we define one-to-one relationship in database?
417,2018,Long,"3.(a) Define switch and break statement with an example. $ (b) Write the general form (syntax) of for () & while () loops. $ (c) Explain why we use Table, Form & Report in Ms-Access."
420,2018,Long,4. (a) What are the different types of operators used in any C Language program? Define any two types. $ (b) Define different basic opening modes used to open a data file in C language. $ (c) Why is DBMS necessary for any big organization?
423,2018,Long,5.(a) Define Function. What are the main characteristics of a function? $ (b) Define different format specifiers used in any formatted function. $ (c) Define the data types in MS Access.
426,2019,MCQs,This is not a loop: $ While $ for $ switch $ do-while
431,2019,MCQs,"This is the format specifier for ""int"" variable: $ %x $ %c $ %f $ %d"
436,2019,MCQs,This is correct statement: $ #include (stdio.h) $ #include <stdio> $ #include >stdio.h< $ #include <stdio.h>
441,2019,MCQs,This is a data type of MS-Access: $ int $ float $ currency $ string
446,2019,MCQs,The primary key in a Database is: $ Unique $ Duplicate $ Null $ none of these
451,2019,MCQs,The function is used to write on the computer screen in C: $ main() $ clrscr() $ printf() $ getch()
456,2019,MCQs,It is not an Arithmetic operator: $ + $ / $ % $ <=
461,2019,MCQs,Passing parameters/arguments/values of a function are given within the: $ Square Brackets[ ] $ Curly Brackets{ } $ Parenthesis ( ) $ Pair of Slashes/* */
466,2019,MCQs,Computer cannot detect this error: $ Runtime $ Logical $ Absolute $ Syntax
471,2019,MCQs,The scope of this type of variable is not limited: $ local variable $ integer variable $ external/global variable $ float variable
476,2019,MCQs,This object in MS-Access is considered as primary object: $ Query $ Form $ Report $ Table
481,2019,MCQs,This keyword is used to exit from the switch statement: $ case $ break $ else $ default
486,2019,MCQs,This object in MS-Access is used to display data in printed form: $ Form $ Query $ Report $ Table
491,2019,MCQs,"Let, the statement printf(""%d"", a++); will print this value: $ 0 $ 1 $ 2 $ 3"
496,2019,MCQs,Primary key of another related table is called: $ Candidate key $ Foreign key $ Alternate key $ Composite key
501,2019,Short,(i) What is programming error? Define Syntax error.
502,2019,Short,(ii) Write a C program to show the table of an inputted number.
503,2019,Short,(iii) Write C-program equivalent statements of any three: $ A = (x^2-y^2)/(x - y)^(2) $ B = y^(2)-2xy+x^(2) $ -y+y^(2)-4xz / 2x $ D = x^(2)+ y(3) + z^(3)- 3xyz
508,2019,Short,(iv) Write the basic structure of C programming language.
509,2019,Short,(v) Differentiate between while loop and do-while loop.
510,2019,Short,(vi) Define Relational Operators used in C-language.
511,2019,Short,(vii) What is escape sequence? Define any two.
512,2019,Short,(viii) Write the full form of: $ DML $ RDBMS $ DBA
513,2019,Short,(ix) What is difference between Primary key & Foreign key?
514,2019,Short,(x) Can reserved words in C-language be chosen as variable names? Justify your answer.
515,2019,Short,(xi) Write any three advantages of DBMS.
516,2019,Short,(xii) Write a function that receives two integer and returns the maximum of the two.
517,2019,Short,(xiii) What is the role of DBA in DBMS?
518,2019,Short,"(xiv) What will be the output of the given program statements? for (int X = 1; X <= 5; X++) (for (int y = 1; y <= X; y++) printf(""%d"", y); printf(""\n""); )"
519,2019,Short,(xv) Identify valid variables or invalid variables: $ number $ you&me $ case
520,2019,Short,"(xvi) Rewrite the given statement correctly: $ if (a==b) then print (""Karachi""); $ for (int i=1, i<10, i++) printf(""%d\n""i); $ integer i = 5; i++;"
524,2019,Short,(xvii) Write the steps to create a table in MS-Access.
525,2019,Short,(xviii) Define any three reserved words in C.
526,2019,Long,"3. (a) Explain all data types in C-language. $ (b) Define ""Nested"" for loop with example. $ (c) Define any four objects of MS-Access."
529,2019,Long,4. (a) What are the input/output statements in C programming language? Define any three with examples. $ (b) Define else-if statement. How it is different from switch statement? $ (c) Write the names of various types of database models. Explain two of these.
532,2019,Long,5. (a) What is function in C-language? In how many ways can it be used? $ (b) What are control structures in C-language? Define Iteration Control Structure. Give example. $ (c) What is relational database? Define all three types of relationship database? Give example.
535,2021,MCQs,This is an example of unary operator: $ + $ ++ $ * $ /
540,2021,MCQs,The default data type in MS-Access is: $ Number $ Text $ Currency $ Date/Time
545,2021,MCQs,This loop executes at least once: $ for $ while $ do-while $ nested
550,2021,MCQs,The escape sequence \\t is used for: $ New line $ Tab $ Backspace $ Alert
555,2021,MCQs,Primary key must be: $ Unique $ Duplicate $ Null $ Empty
560,2021,MCQs,The symbol && represents: $ OR operator $ AND operator $ NOT operator $ XOR operator
565,2021,MCQs,Function prototype is declared in: $ main() $ Header file $ Outside main() $ Inside loop
570,2021,MCQs,The format specifier for character is: $ %d $ %f $ %c $ %s
575,2021,MCQs,A collection of related records is called: $ Field $ File $ Database $ Table
580,2021,MCQs,"The statement terminator in C is: $ : $  ; $ , $ ."
585,2021,MCQs,DML stands for: $ Data Management Language $ Data Manipulation Language $ Database Management Language $ Database Manipulation Language
590,2021,MCQs,The default case in switch is: $ Compulsory $ Optional $ Mandatory $ Required
595,2021,MCQs,Size of int data type is: $ 1 byte $ 2 bytes $ 4 bytes $ 8 bytes
600,2021,MCQs,"In DBMS, tuple refers to: $ Column $ Row $ Table $ Database"
605,2021,MCQs,The header file for mathematical functions is: $ stdio.h $ conio.h $ math.h $ string.h
610,2021,Short,(i) What is the difference between break and continue statement?
611,2021,Short,(ii) Write a program to find the sum of first 10 natural numbers.
612,2021,Short,(iii) Define variable and constant with examples.
613,2021,Short,(iv) What is the purpose of getch() function?
614,2021,Short,(v) Explain one-to-many relationship with example.
615,2021,Short,(vi) Write the syntax of for loop.
616,2021,Short,(vii) What are arithmetic operators? Give examples.
617,2021,Short,(viii) Define field and record in database.
618,2021,Short,(ix) Write a program to input two numbers and find their sum.
619,2021,Short,(x) What is the purpose of #include<stdio.h>?
620,2021,Short,(xi) Differentiate between primary key and foreign key.
621,2021,Short,"(xii) What is the output of: int a=5; printf(""%d"", ++a);"
622,2021,Short,(xiii) Define DDL and DML.
623,2021,Short,(xiv) Write the syntax of if-else statement.
624,2021,Short,(xv) What are the components of DBMS?
625,2021,Long,3. (a) Explain switch statement with example. $ (b) What are loops in C? Explain while loop. $ (c) Define database models and explain any two.
628,2021,Long,4. (a) Write a program to check whether a number is even or odd. $ (b) Explain data types in C language. $ (c) What are the advantages of DBMS?
631,2021,Long,5. (a) Define function and explain its types. $ (b) Explain nested if-else with example. $ (c) What are the objects of MS-Access? Explain any three.
634,2022,MCQs,This is a relational operator: $ + $ == $ && $ ++
639,2022,MCQs,The scanf() function is used for: $ Output $ Input $ Processing $ Storage
644,2022,MCQs,Foreign key is related to: $ Same table $ Different table $ No table $ All tables
649,2022,MCQs,The operator % is called: $ Division $ Modulus $ Multiplication $ Percentage
654,2022,MCQs,Query in MS-Access is used to: $ Store data $ Retrieve data $ Delete database $ Create table
659,2022,MCQs,Comment in C starts with: $ // $ /* $ # $ %
664,2022,MCQs,The keyword used to exit from loop is: $ exit $ break $ continue $ return
669,2022,MCQs,DBA stands for: $ Database Administrator $ Data Base Analysis $ Database Application $ Data Basic Administrator
674,2022,MCQs,The format specifier %f is used for: $ Integer $ Float $ Character $ String
679,2022,MCQs,Hierarchical model represents data in: $ Tree structure $ Linear structure $ Graph structure $ Network structure
684,2022,MCQs,The function clrscr() is defined in: $ stdio.h $ conio.h $ math.h $ string.h
689,2022,MCQs,A record in database is also called: $ Attribute $ Tuple $ Field $ Key
694,2022,MCQs,Logical AND operator is represented by: $ & $ && $ OR $ !
699,2022,MCQs,Size of char data type is: $ 1 byte $ 2 bytes $ 4 bytes $ 8 bytes
704,2022,MCQs,Report in MS-Access is used for: $ Data entry $ Data printing $ Data retrieval $ Data storage
709,2022,Short,(i) What is the difference between compiler and interpreter?
710,2022,Short,(ii) Write a program to find the largest of three numbers.
711,2022,Short,(iii) Define array with example.
712,2022,Short,(iv) What are the advantages of using functions?
713,2022,Short,(v) Explain many-to-many relationship.
714,2022,Short,(vi) Write the syntax of do-while loop.
715,2022,Short,(vii) What is the purpose of return statement?
716,2022,Short,(viii) Define entity and attribute in database.
717,2022,Short,(ix) Write a program to print numbers from 1 to 10.
718,2022,Short,(x) What are relational operators? Give examples.
719,2022,Short,(xi) Differentiate between local and global variables.
720,2022,Short,"(xii) What is the output of: int x=10; printf(""%d"", x--);"
721,2022,Short,(xiii) Define SQL and its types.
722,2022,Short,(xiv) Write the syntax of switch statement.
723,2022,Short,(xv) What is the role of database administrator?
724,2022,Long,3. (a) Explain if-else statement with example. $ (b) What is nested loop? Explain with example. $ (c) Define relational database model and its advantages.
727,2022,Long,4. (a) Write a program to calculate factorial of a number. $ (b) Explain different operators in C language. $ (c) What is RDBMS? Explain its features.
730,2022,Long,5. (a) Define recursion and explain with example. $ (b) Explain control structures in C language. $ (c) What is normalization? Explain its importance.
733,2023,MCQs,This is an assignment operator: $ == $ = $ != $ <=
738,2023,MCQs,The printf() function is used for: $ Input $ Output $ Processing $ Storage
743,2023,MCQs,Primary key ensures: $ Uniqueness $ Duplication $ Null values $ Redundancy
748,2023,MCQs,The operator ++ is called: $ Decrement $ Increment $ Addition $ Multiplication
753,2023,MCQs,Form in MS-Access is used to: $ Print data $ Enter data $ Delete data $ Query data
758,2023,MCQs,Single line comment in C uses: $ /* */ $ // $ # $ --
763,2023,MCQs,The continue statement is used to: $ Exit loop $ Skip iteration $ Stop program $ Return value
768,2023,MCQs,DDL stands for: $ Data Definition Language $ Database Definition Language $ Data Description Language $ Database Description Language
773,2023,MCQs,The format specifier %d is used for: $ Float $ Integer $ Character $ String
778,2023,MCQs,Network model uses: $ Tree structure $ Graph structure $ Linear structure $ Table structure
783,2023,MCQs,The function gets() is used for: $ Integer input $ String input $ Character input $ Float input
788,2023,MCQs,A field in database is also called: $ Tuple $ Attribute $ Record $ Entity
793,2023,MCQs,Logical OR operator is represented by: $ & $ OR $ | $ !
798,2023,MCQs,Size of double data type is: $ 2 bytes $ 4 bytes $ 8 bytes $ 16 bytes
803,2023,MCQs,Table in MS-Access stores: $ Forms $ Data $ Queries $ Reports
808,2023,Short,(i) What is the difference between syntax error and logical error?
809,2023,Short,(ii) Write a program to check if a number is positive or negative.
810,2023,Short,(iii) Define string with example.
811,2023,Short,(iv) What is the purpose of void keyword?
812,2023,Short,(v) Explain one-to-one relationship.
813,2023,Short,(vi) Write the syntax of while loop.
814,2023,Short,(vii) What are logical operators? Give examples.
815,2023,Short,(viii) Define query in database.
816,2023,Short,(ix) Write a program to calculate area of circle.
817,2023,Short,(x) What are increment and decrement operators?
818,2023,Short,(xi) Differentiate between actual and formal parameters.
819,2023,Short,"(xii) What is the output of: int y=5; printf(""%d"", y++);"
820,2023,Short,(xiii) Define primary key and candidate key.
821,2023,Short,(xiv) Write the syntax of nested if statement.
822,2023,Short,(xv) What are the types of databases?
823,2023,Long,3. (a) Explain for loop with example. $ (b) What are functions? Explain with example. $ (c) Define hierarchical database model.
826,2023,Long,4. (a) Write a program to find sum of digits of a number. $ (b) Explain format specifiers in C language. $ (c) What is data dictionary in DBMS.
829,2023,Long,5. (a) Define array and explain its types. $ (b) Explain decision making statements in C. $ (c) What are the advantages of relational database?
832,2024,MCQs,This is a conditional operator: $ ?: $  : $: $  -> $ =>
837,2024,MCQs,The gets() function is declared in: $ stdio.h $ conio.h $ string.h $ math.h
842,2024,MCQs,Composite key is combination of: $ One field $ Two or more fields $ Three fields $ No fields
847,2024,MCQs,The operator / performs: $ Addition $ Subtraction $ Multiplication $ Division
852,2024,MCQs,Macro in MS-Access is used to: $ Store data $ Automate tasks $ Create tables $ Delete records
857,2024,MCQs,Multi-line comment in C uses: $ // $ /* */ $ # $ --
862,2024,MCQs,The goto statement is used for: $ Conditional jump $ Unconditional jump $ Loop control $ Function call
867,2024,MCQs,DCL stands for: $ Data Control Language $ Database Control Language $ Data Command Language $ Database Command Language
872,2024,MCQs,The format specifier %s is used for: $ Integer $ Float $ Character $ String
877,2024,MCQs,Relational model uses: $ Tree $ Graph $ Table $ Network
882,2024,MCQs,The function putchar() is used for: $ String output $ Character output $ Integer output $ Float output
887,2024,MCQs,Foreign key maintains: $ Data integrity $ Data redundancy $ Data loss $ Data corruption
892,2024,MCQs,Logical NOT operator is represented by: $ & $ OR $ ! $ ^
897,2024,MCQs,Size of float data type is: $ 2 bytes $ 4 bytes $ 8 bytes $ 16 bytes
902,2024,MCQs,Index in database is used to: $ Store data $ Speed up retrieval $ Delete records $ Update data
907,2024,Short,(i) What is the difference between = and == operators?
908,2024,Short,(ii) Write a program to print even numbers from 1 to 20.
909,2024,Short,(iii) Define pointer with example.
910,2024,Short,(iv) What is the purpose of main() function?
911,2024,Short,(v) Explain referential integrity.
912,2024,Short,(vi) Write the general form of if statement.
913,2024,Short,(vii) What are comparison operators? Give examples.
914,2024,Short,(viii) Define relationship in database.
915,2024,Short,(ix) Write a program to convert Celsius to Fahrenheit.
916,2024,Short,(x) What is operator precedence?
917,2024,Short,(xi) Differentiate between call by value and call by reference.
918,2024,Short,"(xii) What is the output of: int a=10, b=5; printf(""%d"", a%b);"
919,2024,Short,(xiii) Define alternate key and composite key.
920,2024,Short,(xiv) Write the syntax of else-if ladder.
921,2024,Short,(xv) What is data redundancy?
922,2024,Long,3. (a) Explain nested for loop with example. $ (b) What is function? Explain user-defined functions. $ (c) Define network database model with diagram.
925,2024,Long,4. (a) Write a program to generate Fibonacci series up to n terms. $ (b) Explain input/output functions in C language. $ (c) What is database schema? Explain its types.
928,2024,Long,5. (a) Define structure in C and explain with example. $ (b) Explain looping statements in C language. $ (c) What is normalization? Explain first normal form.
931,2025,MCQs,This is a bitwise operator: $ && $ OR $ & $ !
936,2025,MCQs,The function strlen() is declared in: $ stdio.h $ conio.h $ string.h $ math.h
941,2025,MCQs,Super key is: $ Set of attributes $ Single attribute $ No attribute $ Foreign key
946,2025,MCQs,The operator - performs: $ Addition $ Subtraction $ Multiplication $ Division
951,2025,MCQs,Module in MS-Access is used for: $ Storing data $ Writing VBA code $ Creating queries $ Designing forms
956,2025,MCQs,Preprocessor directive starts with: $ // $ /* $ # $ %
961,2025,MCQs,The sizeof operator returns: $ Value $ Size in bytes $ Address $ Type
966,2025,MCQs,TCL stands for: $ Transaction Control Language $ Table Control Language $ Transfer Control Language $ Terminal Control Language
971,2025,MCQs,The format specifier %lf is used for: $ Integer $ Float $ Double $ Character
976,2025,MCQs,Object-oriented model uses: $ Records $ Tables $ Objects $ Trees
981,2025,MCQs,The function pow() is used for: $ Square root $ Power calculation $ Absolute value $ Logarithm
986,2025,MCQs,Candidate key can be: $ Primary key $ Foreign key $ Composite key $ Super key
991,2025,MCQs,Ternary operator requires: $ One operand $ Two operands $ Three operands $ Four operands
996,2025,MCQs,Range of char data type is: $ -128 to 127 $ 0 to 255 $ -256 to 255 $ Both a and b
1001,2025,MCQs,View in database is: $ Physical table $ Virtual table $ Temporary table $ System table
1006,2025,Short,(i) What is the difference between & and && operators?
1007,2025,Short,(ii) Write a program to find reverse of a number.
1008,2025,Short,(iii) Define structure and union with difference.
1009,2025,Short,(iv) What is the purpose of return statement?
1010,2025,Short,(v) Explain entity integrity and referential integrity.
1011,2025,Short,(vi) Write the syntax of ternary operator.
1012,2025,Short,(vii) What are bitwise operators? Give examples.
1013,2025,Short,(viii) Define view and index in database.
1014,2025,Short,(ix) Write a program to check if a number is prime.
1015,2025,Short,(x) What is type casting in C?
1016,2025,Short,(xi) Differentiate between structure and array.
1017,2025,Short,"(xii) What is the output of: int x=5; printf(""%d"", x>3 ? 10 : 20);"
1018,2025,Short,(xiii) Define super key and candidate key.
1019,2025,Short,(xiv) Write the syntax of nested switch statement.
1020,2025,Short,(xv) What are ACID properties in database?
1021,2025,Long,3. (a) Explain break and continue with examples. $ (b) What is recursion? Explain with example program. $ (c) Define object-oriented database model.
1024,2025,Long,4. (a) Write a program to implement binary search. $ (b) Explain storage classes in C language. $ (c) What is ER diagram? Explain with example.
1027,2025,Long,5. (a) Define file handling in C and explain file operations. $ (b) Explain all types of control structures.
